Profielnaam;X_Maaiveld binnenwaarts;Y_Maaiveld binnenwaarts;Z_Maaiveld binnenwaarts;X_Insteek sloot polderzijde;Y_Insteek sloot polderzijde;Z_Insteek sloot polderzijde;X_Slootbodem polderzijde;Y_Slootbodem polderzijde;Z_Slootbodem polderzijde;X_Slootbodem dijkzijde;Y_Slootbodem dijkzijde;Z_Slootbodem dijkzijde;X_Insteek sloot dijkzijde;Y_Insteek_sloot dijkzijde;Z_Insteek sloot dijkzijde;X_Teen dijk binnenwaarts;Y_Teen dijk binnenwaarts;Z_Teen dijk binnenwaarts;X_Kruin binnenberm;Y_Kruin binnenberm;Z_Kruin binnenberm;X_Insteek binnenberm;Y_Insteek binnenberm;Z_Insteek binnenberm;X_Kruin binnentalud;Y_Kruin binnentalud;Z_Kruin binnentalud;X_Verkeersbelasting kant binnenwaarts;Y_Verkeersbelasting kant binnenwaarts;Z_Verkeersbelasting kant binnenwaarts;X_Verkeersbelasting kant buitenwaarts;Y_Verkeersbelasting kant buitenwaarts;Z_Verkeersbelasting kant buitenwaarts;X_Kruin buitentalud;Y_Kruin buitentalud;Z_Kruin buitentalud;X_Insteek buitenberm;Y_Insteek buitenberm;Z_Insteek buitenberm;X_Kruin buitenberm;Y_Kruin buitenberm;Z_Kruin buitenberm;X_Teen dijk buitenwaarts;Y_Teen dijk buitenwaarts;Z_Teen dijk buitenwaarts;X_Insteek geul;Y_Insteek geul;Z_Insteek geul;X_Teen geul;Y_Teen geul;Z_Teen geul;X_Maaiveld buitenwaarts;Y_Maaiveld buitenwaarts;Z_Maaiveld buitenwaarts
034_042_00033;25;0;-1.79;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;17.76;0;-1.79;13.043;0;-0.9;12.5;0;-0.84;10.5;0;-0.15;10;0;-0.14;7.5;0;-0.77;9;0;-0.14;-1;-1;-1;-1;-1;-1;6;0;-1.4;-1;-1;-1;-1;-1;-1;0;0;-2
034_042_00034;25;0;-2.01;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;16.5;0;-2.01;16;0;-1.87;14;0;-1.74;9.5;0;-0.02;9;0;-0.02;6.5;0;-0.743;8.5;0;-0.01;-1;-1;-1;-1;-1;-1;4.9;0;-1.36;-1;-1;-1;-1;-1;-1;0;0;-2.3
034_042_00035;28;0;-2.01;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;22;0;-2.01;21;0;-1.8;19;0;-1.71;14.5;0;-0.24;14;0;-0.16;11.5;0;-0.35;12;0;-0.11;-1;-1;-1;-1;-1;-1;5;0;-2.71;-1;-1;-1;-1;-1;-1;0;0;-3.23
034_042_00036;28;0;-2.01;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;21.917;0;-1.998;20.5;0;-1.73;19;0;-1.71;14.5;0;-0.24;14;0;-0.16;11.5;0;-0.35;12;0;-0.11;-1;-1;-1;-1;-1;-1;5;0;-2.71;-1;-1;-1;-1;-1;-1;0;0;-3.23
034_042_00037;26;0;-3.09;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;23;0;-2.51;19;0;-1.72;18;0;-1.72;13;0;-0.11;12.5;0;-0.17;10;0;-0.25;11.5;0;-0.08;-1;-1;-1;-1;-1;-1;2;0;-2.44;-1;-1;-1;-1;-1;-1;0;0;-2.6
034_042_00038;28.8;0;-2.23;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;23.5;0;-2.22;21;0;-1.88;20.5;0;-1.88;17;0;-0.35;16;0;-0.33;13.5;0;-0.53;13;0;-0.5;-1;-1;-1;-1;-1;-1;12.5;0;-1.6;-1;-1;-1;-1;-1;-1;0;0;-1.8
034_042_00039;28.8;0;-2.23;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;23.5;0;-2.22;21;0;-1.88;20.5;0;-1.88;17;0;-0.35;16;0;-0.33;13.5;0;-0.53;13;0;-0.5;-1;-1;-1;-1;-1;-1;12.5;0;-1.6;-1;-1;-1;-1;-1;-1;0;0;-1.8
034_042_00040;30;0;-3.08;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;26.7;0;-3.08;22;0;-1.43;17;0;-1.56;13.5;0;-0.2;13;0;-0.15;10.5;0;-0.37;12;0;-0.14;-1;-1;-1;-1;-1;-1;6;0;-1.88;-1;-1;-1;-1;-1;-1;0;0;-2.3
039_042_00004;39.5;0;-1.38;26.5;0;-2.01;25.5;0;-3.47;25;0;-3.47;24;0;-1.97;23.5;0;-1.34;-1;-1;-1;-1;-1;-1;21;0;-0.11;17.5;0;-0.04;15;0;0.04;11;0;0.02;-1;-1;-1;-1;-1;-1;10.5;0;-4.5;-1;-1;-1;-1;-1;-1;0;0;-4.5
039_042_00009;37;0;-1.86;15.5;0;-2.24;14.8;0;-2.87;14.3;0;-2.87;13.355;0;-2.302;12;0;-1.91;-1;-1;-1;-1;-1;-1;7.5;0;-0.16;7;0;-0.11;4.5;0;-2;6;0;-0.16;-1;-1;-1;-1;-1;-1;5;0;-2;-1;-1;-1;-1;-1;-1;0;0;-2
