Profielnaam;X_Maaiveld binnenwaarts;Y_Maaiveld binnenwaarts;Z_Maaiveld binnenwaarts;X_Insteek sloot polderzijde;Y_Insteek sloot polderzijde;Z_Insteek sloot polderzijde;X_Slootbodem polderzijde;Y_Slootbodem polderzijde;Z_Slootbodem polderzijde;X_Slootbodem dijkzijde;Y_Slootbodem dijkzijde;Z_Slootbodem dijkzijde;X_Insteek sloot dijkzijde;Y_Insteek_sloot dijkzijde;Z_Insteek sloot dijkzijde;X_Teen dijk binnenwaarts;Y_Teen dijk binnenwaarts;Z_Teen dijk binnenwaarts;X_Kruin binnenberm;Y_Kruin binnenberm;Z_Kruin binnenberm;X_Insteek binnenberm;Y_Insteek binnenberm;Z_Insteek binnenberm;X_Kruin binnentalud;Y_Kruin binnentalud;Z_Kruin binnentalud;X_Verkeersbelasting kant binnenwaarts;Y_Verkeersbelasting kant binnenwaarts;Z_Verkeersbelasting kant binnenwaarts;X_Verkeersbelasting kant buitenwaarts;Y_Verkeersbelasting kant buitenwaarts;Z_Verkeersbelasting kant buitenwaarts;X_Kruin buitentalud;Y_Kruin buitentalud;Z_Kruin buitentalud;X_Insteek buitenberm;Y_Insteek buitenberm;Z_Insteek buitenberm;X_Kruin buitenberm;Y_Kruin buitenberm;Z_Kruin buitenberm;X_Teen dijk buitenwaarts;Y_Teen dijk buitenwaarts;Z_Teen dijk buitenwaarts;X_Insteek geul;Y_Insteek geul;Z_Insteek geul;X_Teen geul;Y_Teen geul;Z_Teen geul;X_Maaiveld buitenwaarts;Y_Maaiveld buitenwaarts;Z_Maaiveld buitenwaarts;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
023_042_00019;28.815;0;-1.086;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;26.815;0;-0.916;20.315;0;-0.668;17.815;0;-0.646;15.315;0;-0.114;14.815;0;-0.112;12.315;0;-0.762;14.315;0;-0.073;13.315;0;-0.433;12.815;0;-0.472;11.373;0;-1.258;-1;-1;-1;-1;-1;-1;0;0;-1.2;28.815;0;-1.086;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;17.315;0;-0.632;-1;-1;-1;-1;-1;-1;15.315;0;-0.114;14.815;0;-0.112;12.315;0;-0.762;14.315;0;-0.073;-1;-1;-1;-1;-1;-1;7.406;0;-2.191;-1;-1;-1;-1;-1;-1;0;0;-0.6
023_042_00020;74.23;0;-3.547;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;32.73;0;-2.452;-1;-1;-1;-1;-1;-1;22.23;0;-0.109;21.23;0;-0.03;18.73;0;0.032;15.23;0;-0.171;-1;-1;-1;-1;-1;-1;7.406;0;-2.191;-1;-1;-1;-1;-1;-1;0;0;-1.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
023_042_00021;69.118;0;-3.136;51.118;0;-3.157;48.715;0;-4.85;47.892;0;-4.85;46.618;0;-3.576;31.618;0;-2.499;-1;-1;-1;-1;-1;-1;23.618;0;-0.393;22.618;0;-0.323;20.118;0;-0.288;16.618;0;-0.2;-1;-1;-1;-1;-1;-1;11.429;0;-1.8;-1;-1;-1;-1;-1;-1;0;0;-1.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
023_042_00022;59.905;0;-1.847;54.877;0;-2.5;54.309;0;-3.043;54.309;0;-3.043;53.766;0;-2.5;53.405;0;-2.139;52.405;0;-1.959;20.405;0;-1.831;16.405;0;-0.418;15.405;0;-0.253;12.905;0;-0.301;12.905;0;-0.301;-1;-1;-1;-1;-1;-1;11.009;0;-1.26;-1;-1;-1;-1;-1;-1;0;0;-1.2;59.905;0;-1.847;55.405;0;-1.995;54.309;0;-3.043;54.309;0;-3.043;52.905;0;-1.939;20.405;0;-1.831;-1;-1;-1;-1;-1;-1;15.905;0;-0.336;15.905;0;-0.336;13.405;0;-0.309;12.905;0;-0.301;-1;-1;-1;-1;-1;-1;8.708;0;-1.8;-1;-1;-1;-1;-1;-1;0;0;-0.6
023_042_00023;58.474;0;-1.869;56.474;0;-2.048;55.202;0;-3.32;53.467;0;-3.32;51.974;0;-1.827;50.474;0;-1.817;45.474;0;-1.432;14.974;0;-1.265;9.974;0;-0.105;8.974;0;-0.094;6.474;0;-0.438;6.974;0;-0.221;-1;-1;-1;-1;-1;-1;4.3;0;-1.1;-1;-1;-1;-1;-1;-1;0;0;-1.2;58.474;0;-1.869;56.474;0;-2.048;55.202;0;-3.32;53.467;0;-3.32;51.974;0;-1.827;13.474;0;-1.133;-1;-1;-1;-1;-1;-1;9.974;0;-0.105;8.974;0;-0.094;6.474;0;-0.438;6.974;0;-0.221;-1;-1;-1;-1;-1;-1;4.3;0;-1.1;-1;-1;-1;-1;-1;-1;0;0;-0.6
023_042_00024;82.818;0;-2.846;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;28.318;0;-2.304;-1;-1;-1;-1;-1;-1;21.318;0;0.236;19.318;0;0.327;16.818;0;0.126;16.318;0;0.019;-1;-1;-1;-1;-1;-1;10.284;0;-2.3;-1;-1;-1;-1;-1;-1;0;0;-2.964;82.818;0;-2.846;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;28.318;0;-2.304;-1;-1;-1;-1;-1;-1;21.318;0;0.236;20.318;0;0.313;17.818;0;0.305;17.318;0;0.251;-1;-1;-1;-1;-1;-1;10.284;0;-2.3;-1;-1;-1;-1;-1;-1;0;0;-2.964
023_042_00025;87.502;0;-2.084;34.002;0;-1.581;32.723;0;-2.86;31.689;0;-2.86;30.502;0;-1.673;30.002;0;-1.567;-1;-1;-1;-1;-1;-1;27.002;0;-0.348;25.002;0;-0.153;22.502;0;-0.455;21.002;0;-0.443;-1;-1;-1;-1;-1;-1;20.756;0;-1.1;-1;-1;-1;-1;-1;-1;0;0;-1.1;87.502;0;-2.084;34.002;0;-1.581;32.723;0;-2.86;31.689;0;-2.86;30.502;0;-1.673;30.502;0;-1.673;-1;-1;-1;-1;-1;-1;26.502;0;-0.169;26.002;0;-0.189;23.502;0;-0.451;25.002;0;-0.153;-1;-1;-1;-1;-1;-1;17.763;0;-2.3;-1;-1;-1;-1;-1;-1;0;0;-1.1
023_042_00026;77.93;0;-3.108;73.43;0;-3.204;72.43;0;-3.501;71.93;0;-3.524;70.93;0;-3.248;69.93;0;-3.019;60.43;0;-2.337;34.93;0;-1.354;30.43;0;-0.046;26.93;0;-0.039;24.43;0;-0.138;21.43;0;-0.147;-1;-1;-1;-1;-1;-1;20.75;0;-0.6;-1;-1;-1;-1;-1;-1;0;0;-0.6;77.93;0;-3.108;73.43;0;-3.204;72.93;0;-3.446;71.43;0;-3.517;70.43;0;-3.109;34.93;0;-1.354;-1;-1;-1;-1;-1;-1;30.43;0;-0.046;28.93;0;-0.041;26.43;0;-0.053;21.93;0;-0.093;-1;-1;-1;-1;-1;-1;17.757;0;-2.3;-1;-1;-1;-1;-1;-1;0;0;-0.6
023_042_00027;45.463;0;-4.85;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;30.463;0;-2.819;21.963;0;-0.646;18.463;0;-0.464;17.463;0;-0.277;13.963;0;-0.075;11.463;0;-0.276;11.463;0;-0.276;10.963;0;-0.438;10.463;0;-0.398;10.15;0;-1.1;-1;-1;-1;-1;-1;-1;0;0;-1.2;45.463;0;-4.85;42.074;0;-4.85;42.074;0;-4.85;42.074;0;-4.85;40.963;0;-3.739;29.963;0;-2.822;-1;-1;-1;-1;-1;-1;17.463;0;-0.277;16.963;0;-0.277;14.463;0;-0.134;11.963;0;-0.187;-1;-1;-1;-1;-1;-1;7.16;0;-2.3;-1;-1;-1;-1;-1;-1;0;0;-1.05
023_042_00028;64.843;0;-3.49;48.843;0;-3.625;47.232;0;-4.95;46.304;0;-4.95;44.002;0;-3.6;24.843;0;-2.578;-1;-1;-1;-1;-1;-1;15.843;0;-0.284;15.343;0;-0.286;12.843;0;-0.177;10.343;0;-0.309;-1;-1;-1;-1;-1;-1;6.633;0;-2.3;-1;-1;-1;-1;-1;-1;0;0;-1.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
