Profielnaam;X_Maaiveld binnenwaarts;Y_Maaiveld binnenwaarts;Z_Maaiveld binnenwaarts;X_Insteek sloot polderzijde;Y_Insteek sloot polderzijde;Z_Insteek sloot polderzijde;X_Slootbodem polderzijde;Y_Slootbodem polderzijde;Z_Slootbodem polderzijde;X_Slootbodem dijkzijde;Y_Slootbodem dijkzijde;Z_Slootbodem dijkzijde;X_Insteek sloot dijkzijde;Y_Insteek_sloot dijkzijde;Z_Insteek sloot dijkzijde;X_Teen dijk binnenwaarts;Y_Teen dijk binnenwaarts;Z_Teen dijk binnenwaarts;X_Kruin binnenberm;Y_Kruin binnenberm;Z_Kruin binnenberm;X_Insteek binnenberm;Y_Insteek binnenberm;Z_Insteek binnenberm;X_Kruin binnentalud;Y_Kruin binnentalud;Z_Kruin binnentalud;X_Verkeersbelasting kant binnenwaarts;Y_Verkeersbelasting kant binnenwaarts;Z_Verkeersbelasting kant binnenwaarts;X_Verkeersbelasting kant buitenwaarts;Y_Verkeersbelasting kant buitenwaarts;Z_Verkeersbelasting kant buitenwaarts;X_Kruin buitentalud;Y_Kruin buitentalud;Z_Kruin buitentalud;X_Insteek buitenberm;Y_Insteek buitenberm;Z_Insteek buitenberm;X_Kruin buitenberm;Y_Kruin buitenberm;Z_Kruin buitenberm;X_Teen dijk buitenwaarts;Y_Teen dijk buitenwaarts;Z_Teen dijk buitenwaarts;X_Insteek geul;Y_Insteek geul;Z_Insteek geul;X_Teen geul;Y_Teen geul;Z_Teen geul;X_Maaiveld buitenwaarts;Y_Maaiveld buitenwaarts;Z_Maaiveld buitenwaarts;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
040_042_00030;56.25;0;-5.7;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;31.06;0;-3.58;27.09;0;-2.44;25.05;0;-2.39;19.3;0;-0.37;16.13;0;-0.21;13.63;0;-0.144;9.48;0;-0.22;-1;-1;-1;-1;-1;-1;6.94;0;-1.31;-1;-1;-1;-1;-1;-1;0;0;-1.52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
040_042_00031;56.25;0;-5.7;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;31.36;0;-3.69;27.09;0;-2.44;25.05;0;-2.39;19.3;0;-0.37;16.39;0;-0.29;13.89;0;-0.151;9.48;0;-0.22;-1;-1;-1;-1;-1;-1;6.94;0;-1.31;-1;-1;-1;-1;-1;-1;0;0;-1.52;56.25;0;-5.7;45.44;0;-5.7;45.44;0;-5.7;45.44;0;-5.7;43.34;0;-3.62;31.36;0;-3.69;-1;-1;-1;-1;-1;-1;19.3;0;-0.37;19.3;0;-0.37;16.8;0;-0.301;9.48;0;-0.22;-1;-1;-1;-1;-1;-1;4;0;-2.9;-1;-1;-1;-1;-1;-1;0;0;-1.52
040_042_00032;52.56;0;-3.64;42.05;0;-4.65;41.04;0;-5.7;39.98;0;-5.7;38.98;0;-4.73;38.53;0;-4.2;37.51;0;-3.94;29.83;0;-3.31;23.85;0;-0.95;14.45;0;-0.28;11.95;0;-0.491;11.37;0;-0.57;-1;-1;-1;-1;-1;-1;6.99;0;-1.2;-1;-1;-1;-1;-1;-1;0;0;-1.52;52.56;0;-3.64;45.45;0;-3.58;41.04;0;-5.7;39.98;0;-5.7;38.53;0;-4.2;29.83;0;-3.31;-1;-1;-1;-1;-1;-1;23.85;0;-0.95;23.85;0;-0.95;21.35;0;-0.772;13.13;0;-0.33;-1;-1;-1;-1;-1;-1;4.25;0;-2.777;-1;-1;-1;-1;-1;-1;0;0;-1.52
040_042_00033;94.9;0;-3.79;53.91;0;-4.7;52.91;0;-5.7;49.87;0;-5.7;48.87;0;-4.71;48.44;0;-4.15;46.05;0;-4.05;21.19;0;-3.04;14.26;0;-0.93;13.24;0;-0.7;10.74;0;-0.589;8.65;0;-0.832;-1;-1;-1;-1;-1;-1;7.14;0;-1.28;-1;-1;-1;-1;-1;-1;0;0;-1.52;94.9;0;-3.79;54.11;0;-4.42;52.91;0;-5.7;49.87;0;-5.7;48.44;0;-4.15;22.44;0;-3.19;-1;-1;-1;-1;-1;-1;13.24;0;-0.7;11.15;0;-0.57;8.65;0;-0.832;9.66;0;-0.64;-1;-1;-1;-1;-1;-1;4;0;-2.9;-1;-1;-1;-1;-1;-1;0;0;-1.52
040_042_00034;36.8;0;-3.74;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;32.3;0;-3.28;21.8;0;-1.83;21.3;0;-1.83;16.3;0;-0.92;13.8;0;-0.88;11.3;0;-0.85;8.8;0;-0.94;-1;-1;-1;-1;-1;-1;7.3;0;-1.22;-1;-1;-1;-1;-1;-1;0;0;-1.22;36.8;0;-3.74;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;36.3;0;-3.69;-1;-1;-1;-1;-1;-1;15.8;0;-0.87;15.3;0;-0.87;12.8;0;-0.85;8.8;0;-0.94;-1;-1;-1;-1;-1;-1;3.6;0;-2.9;-1;-1;-1;-1;-1;-1;0;0;-1.22
040_042_00035;54.62;0;-5.7;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;28.84;0;-3.15;-1;-1;-1;-1;-1;-1;24.15;0;-1.11;18.49;0;-0.76;15.99;0;-0.653;13.05;0;-0.72;-1;-1;-1;-1;-1;-1;10.47;0;-1.27;-1;-1;-1;-1;-1;-1;0;0;-1.51;54.62;0;-5.7;47.42;0;-5.7;47.42;0;-5.7;47.42;0;-5.7;46.03;0;-3.69;28.84;0;-3.15;-1;-1;-1;-1;-1;-1;24.15;0;-1.11;24.15;0;-1.11;21.65;0;-0.978;11.88;0;-0.91;-1;-1;-1;-1;-1;-1;7.42;0;-2.9;-1;-1;-1;-1;-1;-1;0;0;-1.51
040_042_00036;40.5;0;-3.74;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;33.5;0;-3;-1;-1;-1;-1;-1;-1;20.5;0;-0.99;16.5;0;-0.85;14;0;-0.95;12.5;0;-0.94;-1;-1;-1;-1;-1;-1;11.5;0;-1.11;-1;-1;-1;-1;-1;-1;0;0;-1.22;40.5;0;-3.74;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;40;0;-3.69;-1;-1;-1;-1;-1;-1;19.5;0;-0.87;18.5;0;-0.85;16;0;-0.84;13;0;-0.9;-1;-1;-1;-1;-1;-1;6.926;0;-3.2;-1;-1;-1;-1;-1;-1;0;0;-1.22
040_042_00037;40.88;0;-3.63;37.78;0;-3.69;37.74;0;-3.82;30.3;0;-3.69;30.24;0;-3.56;27.12;0;-3.43;-1;-1;-1;-1;-1;-1;16.49;0;-0.85;14.48;0;-0.8;11.98;0;-1.083;12.95;0;-0.92;-1;-1;-1;-1;-1;-1;9.3;0;-1.28;-1;-1;-1;-1;-1;-1;0;0;-1.52;40.88;0;-3.63;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;24.51;0;-3.23;-1;-1;-1;-1;-1;-1;16.49;0;-0.85;16.49;0;-0.85;13.99;0;-0.838;12.95;0;-0.92;-1;-1;-1;-1;-1;-1;5.4;0;-3.2;-1;-1;-1;-1;-1;-1;0;0;-1.52
040_042_00038;39.5;0;-3.74;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;38;0;-3.61;-1;-1;-1;-1;-1;-1;19;0;-0.92;16;0;-0.84;13.5;0;-0.88;11.5;0;-0.94;-1;-1;-1;-1;-1;-1;10;0;-1.22;-1;-1;-1;-1;-1;-1;0;0;-1.22;39.5;0;-3.74;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;39;0;-3.69;-1;-1;-1;-1;-1;-1;18.5;0;-0.87;17.5;0;-0.85;15;0;-0.84;12;0;-0.9;-1;-1;-1;-1;-1;-1;7;0;-2.7;-1;-1;-1;-1;-1;-1;0;0;-1.22
040_042_00039;43;0;-3.23;39.5;0;-4.15;38;0;-5.7;34.5;0;-5.7;33.086;0;-4.287;32.5;0;-4.11;31;0;-3.51;24.5;0;-3.17;18;0;-1.33;14.5;0;-0.96;12;0;-0.86;10.5;0;-0.91;-1;-1;-1;-1;-1;-1;9.5;0;-1.12;-1;-1;-1;-1;-1;-1;0;0;-1.24;43;0;-3.23;41;0;-3.4;38;0;-5.7;34.5;0;-5.7;31;0;-3.51;24.5;0;-3.17;-1;-1;-1;-1;-1;-1;13;0;-0.88;12;0;-0.86;9.5;0;-1.12;10.5;0;-0.91;-1;-1;-1;-1;-1;-1;6.3;0;-2.7;-1;-1;-1;-1;-1;-1;0;0;-1.24
040_042_00040;34.6;0;-3.5;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;29.6;0;-3;-1;-1;-1;-1;-1;-1;17.5;0;-0.52;17;0;-0.54;14.5;0;-0.52;13.5;0;-0.58;-1;-1;-1;-1;-1;-1;4.4;0;-3;-1;-1;-1;-1;-1;-1;0;0;-1.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
040_042_00041;50.4;0;-3.71;34.4;0;-4.08;32.6;0;-5.7;32.4;0;-5.7;31.601;0;-4.198;30.9;0;-3.54;-1;-1;-1;-1;-1;-1;18.9;0;-0.37;17.9;0;-0.33;15.4;0;-0.28;15.4;0;-0.28;-1;-1;-1;-1;-1;-1;13.4;0;-1.14;-1;-1;-1;-1;-1;-1;0;0;-1.33;50.4;0;-3.71;34.9;0;-3.87;32.6;0;-5.7;32.4;0;-5.7;30.9;0;-3.54;30.4;0;-3.43;-1;-1;-1;-1;-1;-1;18.9;0;-0.37;18.4;0;-0.31;15.9;0;-0.3;15.4;0;-0.28;-1;-1;-1;-1;-1;-1;9;0;-3;-1;-1;-1;-1;-1;-1;0;0;-1.33
040_042_00042;48.2;0;-3.84;47.7;0;-4.14;45.2;0;-5.7;39.4;0;-5.7;37.7;0;-4.05;37.2;0;-3.93;-1;-1;-1;-1;-1;-1;14.7;0;-0.8;13.7;0;-0.79;11.2;0;-0.77;9.2;0;-0.88;-1;-1;-1;-1;-1;-1;4.5;0;-3;-1;-1;-1;-1;-1;-1;0;0;-1.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
040_042_00043;67;0;-5.7;55.7;0;-5.7;55.7;0;-5.7;55.7;0;-5.7;51;0;-3.07;40.5;0;-2.67;-1;-1;-1;-1;-1;-1;18;0;-0.79;17;0;-0.76;14.5;0;-0.68;12;0;-0.86;-1;-1;-1;-1;-1;-1;8.1;0;-3;-1;-1;-1;-1;-1;-1;0;0;-1.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
040_042_00044;44.5;0;-3.69;40.5;0;-3.84;37.4;0;-5.7;37.1;0;-5.7;35;0;-3.93;24;0;-2.94;-1;-1;-1;-1;-1;-1;15;0;-0.68;14.5;0;-0.63;12;0;-0.54;10;0;-0.61;-1;-1;-1;-1;-1;-1;4.5;0;-3;-1;-1;-1;-1;-1;-1;0;0;-1.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
040_042_00045;48.2;0;-3.84;47.7;0;-4.14;45.2;0;-5.7;39.4;0;-5.7;37.7;0;-4.05;37.7;0;-4.05;-1;-1;-1;-1;-1;-1;14.7;0;-0.8;13.7;0;-0.79;11.2;0;-0.77;8.7;0;-0.95;-1;-1;-1;-1;-1;-1;4.5;0;-3;-1;-1;-1;-1;-1;-1;0;0;-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
040_042_00046;36.5;0;-3.74;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;36;0;-3.69;21.5;0;-1.83;21;0;-1.83;15.5;0;-0.87;11.5;0;-0.87;9;0;-0.9;8.5;0;-0.94;-1;-1;-1;-1;-1;-1;7.5;0;-1.11;-1;-1;-1;-1;-1;-1;0;0;-1.22;36.5;0;-3.74;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;36;0;-3.69;-1;-1;-1;-1;-1;-1;15.5;0;-0.87;15;0;-0.87;12.5;0;-0.85;8.5;0;-0.94;-1;-1;-1;-1;-1;-1;4;0;-2.7;-1;-1;-1;-1;-1;-1;0;0;-1.22
040_042_00047;55;0;-3.84;53;0;-4.67;52.4;0;-5.7;46.15;0;-5.7;45.004;0;-4.534;44.5;0;-4.05;36;0;-2.72;35.5;0;-2.72;25.5;0;-1.13;20;0;-0.77;17.5;0;-0.78;15.5;0;-0.95;15;0;-1.15;5;0;-0.98;1.6;0;-2.7;-1;-1;-1;-1;-1;-1;0;0;-2.7;55;0;-3.84;54.5;0;-4.14;52.4;0;-5.7;46.15;0;-5.7;44.5;0;-4.05;44;0;-3.93;-1;-1;-1;-1;-1;-1;22;0;-0.84;21.5;0;-0.8;19;0;-0.75;16.5;0;-0.85;-1;-1;-1;-1;-1;-1;1.6;0;-2.7;-1;-1;-1;-1;-1;-1;0;0;-2.7
040_042_00049;84.776;0;-4.04;72.386;0;-4.21;70.806;0;-5.7;70.586;0;-5.7;69.486;0;-4.59;67.716;0;-3.85;65.026;0;-3.08;55.176;0;-2.76;44.626;0;-0.03;36.366;0;-0.77;33.866;0;-0.782;24.986;0;-0.18;24.836;0;-0.6;23.318;0;-1.106;15.237;0;-3.8;-1;-1;-1;-1;-1;-1;0;0;-4.483;84.776;0;-4.04;72.386;0;-4.21;70.806;0;-5.7;70.586;0;-5.7;65.766;0;-3.2;55.176;0;-2.76;-1;-1;-1;-1;-1;-1;46.196;0;-0.21;39.046;0;-0.68;36.546;0;-0.764;24.986;0;-0.18;-1;-1;-1;-1;-1;-1;15.237;0;-3.8;-1;-1;-1;-1;-1;-1;0;0;-4.483
040_042_00051;63.041;0;-5.7;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;43.014;0;-2.712;-1;-1;-1;-1;-1;-1;23.211;0;-0.13;22.05;0;-0.162;19.55;0;-0.216;12.651;0;-0.6;-1;-1;-1;-1;-1;-1;2.014;0;-4.145;-1;-1;-1;-1;-1;-1;0;0;-1.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
060_042_00001;63.35;0;-3.3;43.35;0;-3.3;43.35;0;-3.3;43.35;0;-3.3;41.4;0;-1.8;33.9;0;-1.48;-1;-1;-1;-1;-1;-1;29.4;0;-0.39;28.9;0;-0.3;26.4;0;-0.38;25.4;0;-0.49;-1;-1;-1;-1;-1;-1;20;0;-4;-1;-1;-1;-1;-1;-1;0;0;-4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
060_042_00002;50;0;-1.84;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;32.5;0;-1.88;31.5;0;-1.55;30;0;-1.5;23.5;0;-0.17;23;0;-0.06;20.5;0;-0.746;21.5;0;-0.18;-1;-1;-1;-1;-1;-1;18.3;0;-2;-1;-1;-1;-1;-1;-1;0;0;-2;50;0;-1.84;32.5;0;-1.88;32.5;0;-1.88;32.5;0;-1.88;31.5;0;-1.55;30;0;-1.5;-1;-1;-1;-1;-1;-1;23;0;-0.06;23;0;-0.06;20.5;0;-0.746;22;0;-0.08;-1;-1;-1;-1;-1;-1;18.3;0;-2;-1;-1;-1;-1;-1;-1;0;0;-2
060_042_00013;40.5;0;-1.71;34.5;0;-1.61;32.9;0;-3.2;32.4;0;-3.2;31;0;-1.78;30;0;-1.46;26;0;-1.07;23;0;-0.22;22.5;0;-0.17;21.5;0;-0.14;19;0;-0.33;20.5;0;-0.25;20;0;-0.44;18;0;-0.41;12.67;0;-4;-1;-1;-1;-1;-1;-1;0;0;-4;40.5;0;-1.71;34.5;0;-1.61;32.9;0;-3.2;32.4;0;-3.2;31;0;-1.78;26.5;0;-1.12;-1;-1;-1;-1;-1;-1;23;0;-0.22;22.5;0;-0.17;20;0;-0.44;21;0;-0.14;-1;-1;-1;-1;-1;-1;12.67;0;-4;-1;-1;-1;-1;-1;-1;0;0;-4
060_042_00014;40;0;-1.8;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;27;0;-1.72;-1;-1;-1;-1;-1;-1;19.5;0;-0.12;19;0;-0.08;16.5;0;-0.39;18;0;-0.13;-1;-1;-1;-1;-1;-1;10.79;0;-4;-1;-1;-1;-1;-1;-1;0;0;-4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
060_042_00015;74.5;0;-1.58;68.5;0;-1.77;67.5;0;-3.2;64.85;0;-3.2;62.5;0;-1.68;28.5;0;-1.04;-1;-1;-1;-1;-1;-1;25.5;0;-0.3;24;0;-0.18;21.5;0;-0.16;18.5;0;-0.14;-1;-1;-1;-1;-1;-1;12.18;0;-4;-1;-1;-1;-1;-1;-1;0;0;-4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
060_042_00016;110;0;-1.62;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;24.5;0;-0.67;-1;-1;-1;-1;-1;-1;22;0;-0.07;21.5;0;-0.06;19;0;-0.48;20.5;0;-0.07;-1;-1;-1;-1;-1;-1;12.84;0;-4;-1;-1;-1;-1;-1;-1;0;0;-4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
060_042_00017;55;0;-1.7;47.5;0;-1.99;46.3;0;-3.2;44.3;0;-3.2;43;0;-1.86;41.5;0;-1.67;-1;-1;-1;-1;-1;-1;38.5;0;-0.42;38;0;-0.41;35.5;0;-0.34;9.5;0;-0.2;-1;-1;-1;-1;-1;-1;6.8;0;-2;-1;-1;-1;-1;-1;-1;0;0;-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
060_042_00018;100;0;-3.3;88.8;0;-3.3;88.8;0;-3.3;88.8;0;-3.3;87;0;-1.47;86;0;-1.51;-1;-1;-1;-1;-1;-1;51.5;0;-0.1;48;0;-0.05;45.5;0;-0.04;20.5;0;-0.21;-1;-1;-1;-1;-1;-1;11.66;0;-4;-1;-1;-1;-1;-1;-1;0;0;-4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
060_042_00019;56.5;0;-1.28;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;38;0;-1.64;-1;-1;-1;-1;-1;-1;31;0;-0.02;30.5;0;0.07;28;0;-0.19;28;0;-0.19;-1;-1;-1;-1;-1;-1;27.369;0;-1.88;-1;-1;-1;-1;-1;-1;0;0;-3.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
060_042_00020;50;0;-1.69;40.5;0;-1.78;38.7;0;-3.3;33.5;0;-3.3;31.5;0;-1.79;22;0;-1.51;-1;-1;-1;-1;-1;-1;17;0;-0.13;15.5;0;0.01;13;0;-0.15;12;0;-0.2;-1;-1;-1;-1;-1;-1;9.3;0;-2;-1;-1;-1;-1;-1;-1;0;0;-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
060_042_00021;70;0;-3.3;58.8;0;-3.3;58.8;0;-3.3;58.8;0;-3.3;57.5;0;-2.04;25;0;-1.24;-1;-1;-1;-1;-1;-1;19.5;0;-0.08;19;0;0.02;16.5;0;-0.11;16;0;-0.13;-1;-1;-1;-1;-1;-1;13.2;0;-2;-1;-1;-1;-1;-1;-1;0;0;-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
060_042_00022;70;0;-3.3;58.8;0;-3.3;58.8;0;-3.3;58.8;0;-3.3;57.5;0;-2.04;25;0;-1.24;-1;-1;-1;-1;-1;-1;19.5;0;-0.08;19;0;0.02;16.5;0;-0.11;16;0;-0.13;-1;-1;-1;-1;-1;-1;13.2;0;-2;-1;-1;-1;-1;-1;-1;0;0;-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
060_042_00023;56.5;0;-1.79;45;0;-1.49;43.114;0;-3.119;42.847;0;-3.122;41.5;0;-1.63;38;0;-1.66;-1;-1;-1;-1;-1;-1;32;0;-0.09;31.5;0;0.07;29;0;-0.52;30;0;-0.12;-1;-1;-1;-1;-1;-1;15.9;0;-3.8;-1;-1;-1;-1;-1;-1;0;0;-3.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
060_042_00024;75;0;-1.47;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;24;0;-1.02;-1;-1;-1;-1;-1;-1;18.5;0;0.06;18.5;0;0.06;16;0;-0.27;15.5;0;-0.27;-1;-1;-1;-1;-1;-1;10.06;0;-3.882;-1;-1;-1;-1;-1;-1;0;0;-4;75;0;-1.47;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;24;0;-1.02;-1;-1;-1;-1;-1;-1;18.5;0;0.06;18.5;0;0.06;16;0;-0.27;16.5;0;-0.26;-1;-1;-1;-1;-1;-1;10.06;0;-3.882;-1;-1;-1;-1;-1;-1;0;0;-4
094_042_00001;37;0;-2.54;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;30.06;0;-2.54;-1;-1;-1;-1;-1;-1;23;0;-0.71;22.5;0;-0.74;20;0;-0.76;7.4;0;0;-1;-1;-1;-1;-1;-1;7.2;0;-2.1;-1;-1;-1;-1;-1;-1;0;0;-2.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
094_042_00003;25;0;-1.32;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;12;0;-1.27;11.5;0;-1.04;11;0;-1.01;9;0;-0.16;8.5;0;-0.1;6;0;-0.893;7.5;0;-0.16;-1;-1;-1;-1;-1;-1;5.38;0;-1.1;-1;-1;-1;-1;-1;-1;0;0;-1.1;25;0;-1.32;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;12.5;0;-1.32;11.5;0;-1.04;11;0;-1.01;9;0;-0.16;8.5;0;-0.1;6;0;-0.893;7.5;0;-0.16;-1;-1;-1;-1;-1;-1;5.38;0;-1.1;-1;-1;-1;-1;-1;-1;0;0;-1.1
094_042_00004;25;0;-1.32;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;12.5;0;-1.32;11.5;0;-1.04;11;0;-1.01;9;0;-0.16;9.5;0;-0.37;7;0;-0.56;7.5;0;-0.16;-1;-1;-1;-1;-1;-1;5.38;0;-1.1;-1;-1;-1;-1;-1;-1;0;0;-1.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
107_042_00002;100;0;-1.55;28.8;0;-1.5;27.8;0;-2.5;27.5;0;-2.5;26.5;0;-1.55;26;0;-1.28;-1;-1;-1;-1;-1;-1;24;0;-0.28;22.5;0;0.03;20;0;0.12;17;0;0.06;-1;-1;-1;-1;-1;-1;6.8;0;-4.2;-1;-1;-1;-1;-1;-1;0;0;-4.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
107_042_00003;100;0;-0.28;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;26;0;-1.46;-1;-1;-1;-1;-1;-1;24;0;-0.07;22;0;0.02;19.5;0;0.08;15;0;-0.14;-1;-1;-1;-1;-1;-1;5.9;0;-4.2;-1;-1;-1;-1;-1;-1;0;0;-4.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
107_042_00004;100;0;-1.55;28.8;0;-1.5;27.8;0;-2.5;27.5;0;-2.5;26.5;0;-1.55;26;0;-1.28;25;0;-0.92;25;0;-0.92;22.5;0;0.03;20;0;0.12;17.5;0;0.1;17;0;0.06;-1;-1;-1;-1;-1;-1;11.787;0;-2;-1;-1;-1;-1;-1;-1;0;0;-4.2;100;0;-1.55;28.8;0;-1.5;27.8;0;-2.5;27.5;0;-2.5;26.5;0;-1.55;26;0;-1.28;-1;-1;-1;-1;-1;-1;24;0;-0.28;22.5;0;0.03;20;0;0.12;17;0;0.06;-1;-1;-1;-1;-1;-1;6.8;0;-4.2;-1;-1;-1;-1;-1;-1;0;0;-4.2
107_042_00008;100;0;-1.26;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;11;0;-1.06;-1;-1;-1;-1;-1;-1;7;0;-0.35;6;0;-0.2;3.5;0;-0.838;4.107;0;-0.42;-1;-1;-1;-1;-1;-1;2;0;-1.8;-1;-1;-1;-1;-1;-1;0;0;-1.8;100;0;-1.26;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;11;0;-1.06;-1;-1;-1;-1;-1;-1;6;0;-0.2;5.5;0;-0.19;3;0;-1.163;4.5;0;-0.31;-1;-1;-1;-1;-1;-1;2;0;-1.8;-1;-1;-1;-1;-1;-1;0;0;-1.8
107_042_00009;100;0;-1.14;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;28.5;0;-1.14;-1;-1;-1;-1;-1;-1;25.5;0;-0.09;23;0;0.08;20.5;0;0.04;18.5;0;0.01;-1;-1;-1;-1;-1;-1;8;0;-4.2;-1;-1;-1;-1;-1;-1;0;0;-4.2;100;0;-1.14;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;28.5;0;-1.14;-1;-1;-1;-1;-1;-1;25;0;0.08;23;0;0.08;20.5;0;0.04;18.5;0;0.01;-1;-1;-1;-1;-1;-1;8;0;-4.2;-1;-1;-1;-1;-1;-1;0;0;-4.2
107_042_00014;100;0;-2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;27;0;-2;-1;-1;-1;-1;-1;-1;6.5;0;-0.25;5.5;0;-0.15;3;0;-1.147;4;0;-0.38;-1;-1;-1;-1;-1;-1;1.7;0;-2.3;-1;-1;-1;-1;-1;-1;0;0;-2.3;100;0;-2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;18;0;-1.61;-1;-1;-1;-1;-1;-1;6.5;0;-0.25;5.5;0;-0.15;3;0;-1.147;4.5;0;-0.29;-1;-1;-1;-1;-1;-1;1.7;0;-2.3;-1;-1;-1;-1;-1;-1;0;0;-2.3
107_042_00015;100;0;-2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;18;0;-1.61;-1;-1;-1;-1;-1;-1;6.5;0;-0.25;6.5;0;-0.25;4;0;-0.38;4.5;0;-0.29;-1;-1;-1;-1;-1;-1;1.7;0;-2.3;-1;-1;-1;-1;-1;-1;0;0;-2.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
107_042_00018;100;0;-2.03;33;0;-1.8;32;0;-2.8;32;0;-2.8;31;0;-1.8;31;0;-1.8;-1;-1;-1;-1;-1;-1;25;0;-0.4;21;0;-0.29;18.5;0;-0.392;19;0;-0.35;-1;-1;-1;-1;-1;-1;2;0;-1.26;-1;-1;-1;-1;-1;-1;0;0;-1.35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
