LOCATIONID;X_Maaiveld binnenwaarts;Y_Maaiveld binnenwaarts;Z_Maaiveld binnenwaarts;X_Insteek sloot polderzijde;Y_Insteek sloot polderzijde;Z_Insteek sloot polderzijde;X_Slootbodem polderzijde;Y_Slootbodem polderzijde;Z_Slootbodem polderzijde;X_Slootbodem dijkzijde;Y_Slootbodem dijkzijde;Z_Slootbodem dijkzijde;X_Insteek sloot dijkzijde;Y_Insteek_sloot dijkzijde;Z_Insteek sloot dijkzijde;X_Teen dijk binnenwaarts;Y_Teen dijk binnenwaarts;Z_Teen dijk binnenwaarts;X_Kruin binnenberm;Y_Kruin binnenberm;Z_Kruin binnenberm;X_Insteek binnenberm;Y_Insteek binnenberm;Z_Insteek binnenberm;X_Kruin binnentalud;Y_Kruin binnentalud;Z_Kruin binnentalud;X_Verkeersbelasting kant binnenwaarts;Y_Verkeersbelasting kant binnenwaarts;Z_Verkeersbelasting kant binnenwaarts;X_Verkeersbelasting kant buitenwaarts;Y_Verkeersbelasting kant buitenwaarts;Z_Verkeersbelasting kant buitenwaarts;X_Kruin buitentalud;Y_Kruin buitentalud;Z_Kruin buitentalud;X_Insteek buitenberm;Y_Insteek buitenberm;Z_Insteek buitenberm;X_Kruin buitenberm;Y_Kruin buitenberm;Z_Kruin buitenberm;X_Teen dijk buitenwaarts;Y_Teen dijk buitenwaarts;Z_Teen dijk buitenwaarts;X_Insteek geul;Y_Insteek geul;Z_Insteek geul;X_Teen geul;Y_Teen geul;Z_Teen geul;X_Maaiveld buitenwaarts;Y_Maaiveld buitenwaarts;Z_Maaiveld buitenwaarts;;;;
017_042_00002;55.39;0;-2.5;42.149;0;-2.5;42.149;0;-2.5;42.149;0;-2.5;36.89;0;-1.03;25.89;0;-0.67;-1;-1;-1;-1;-1;-1;23.39;0;-0.07;22.89;0;-0.06;20.39;0;-0.58;21.89;0;-0.02;-1;-1;-1;-1;-1;-1;11.348;0;-4.2;-1;-1;-1;-1;-1;-1;0;0;-4.2;;;;
017_042_00003;55.39;0;-2.5;42.149;0;-2.5;42.149;0;-2.5;42.149;0;-2.5;36.89;0;-1.03;25.89;0;-0.67;-1;-1;-1;-1;-1;-1;23.39;0;-0.07;22.89;0;-0.06;20.39;0;-0.58;21.89;0;-0.02;-1;-1;-1;-1;-1;-1;11.348;0;-4.2;-1;-1;-1;-1;-1;-1;0;0;-4.2;;;;
017_042_00004;55.39;0;-2.5;42.149;0;-2.5;42.149;0;-2.5;42.149;0;-2.5;36.89;0;-1.03;25.89;0;-0.67;-1;-1;-1;-1;-1;-1;23.39;0;-0.07;22.89;0;-0.06;20.39;0;-0.58;21.89;0;-0.02;-1;-1;-1;-1;-1;-1;11.348;0;-4.2;-1;-1;-1;-1;-1;-1;0;0;-4.2;;;;
017_042_00005;55.39;0;-2.5;42.149;0;-2.5;42.149;0;-2.5;42.149;0;-2.5;36.89;0;-1.03;25.89;0;-0.67;-1;-1;-1;-1;-1;-1;23.39;0;-0.07;22.89;0;-0.06;20.39;0;-0.58;21.89;0;-0.02;-1;-1;-1;-1;-1;-1;11.348;0;-4.2;-1;-1;-1;-1;-1;-1;0;0;-4.2;;;;
017_042_00006;55.39;0;-2.5;42.149;0;-2.5;42.149;0;-2.5;42.149;0;-2.5;36.89;0;-1.03;25.89;0;-0.67;-1;-1;-1;-1;-1;-1;23.39;0;-0.07;22.89;0;-0.06;20.39;0;-0.58;21.89;0;-0.02;-1;-1;-1;-1;-1;-1;11.348;0;-4.2;-1;-1;-1;-1;-1;-1;0;0;-4.2;;;;
017_042_00007;55.39;0;-2.5;42.149;0;-2.5;42.149;0;-2.5;42.149;0;-2.5;36.89;0;-1.03;25.89;0;-0.67;-1;-1;-1;-1;-1;-1;23.39;0;-0.07;22.89;0;-0.06;20.39;0;-0.58;21.89;0;-0.02;-1;-1;-1;-1;-1;-1;11.348;0;-4.2;-1;-1;-1;-1;-1;-1;0;0;-4.2;;;;
017_042_00019;30;0;-0.75;27;0;-0.57;23.68;0;-2.5;23.68;0;-2.5;21;0;-0.81;15;0;-0.08;-1;-1;-1;-1;-1;-1;12.5;0;0.26;12.5;0;0.26;10;0;-0.31;12;0;0.28;-1;-1;-1;-1;-1;-1;8.863;0;-2.732;-1;-1;-1;-1;-1;-1;0;0;-3.3;;;;
017_042_00022;38.672;0;-2.4;30.592;0;-2.4;30.592;0;-2.4;30.592;0;-2.4;29.5;0;-1.85;21;0;-0.89;-1;-1;-1;-1;-1;-1;16.5;0;-0.08;16;0;-0.04;13.5;0;-0.8;15.5;0;-0.06;-1;-1;-1;-1;-1;-1;7.251;0;-3.3;-1;-1;-1;-1;-1;-1;0;0;-3.3;;;;
027_042_00001;55;0;-4.259;49.622;0;-4.259;47.139;0;-5.12;46.429;0;-5.12;43.629;0;-4.19;14.5;0;-3.58;-1;-1;-1;-1;-1;-1;8;0;-1.43;7;0;-1.3;4.5;0;-2.06;6;0;-1.33;-1;-1;-1;-1;-1;-1;3.64;0;-2.92;-1;-1;-1;-1;-1;-1;0;0;-2.92;;;;
027_042_00003;55;0;-4.259;49.622;0;-4.259;47.139;0;-5.12;46.429;0;-5.12;43.629;0;-4.19;14.5;0;-3.58;-1;-1;-1;-1;-1;-1;7.5;0;-1.39;7;0;-1.3;4.5;0;-2.06;6;0;-1.33;-1;-1;-1;-1;-1;-1;3.64;0;-2.92;-1;-1;-1;-1;-1;-1;0;0;-2.92;;;;
027_042_00008;45;0;-6.02;38.05;0;-6.02;38.05;0;-6.02;38.05;0;-6.02;35;0;-4.78;24;0;-4.3;-1;-1;-1;-1;-1;-1;11;0;-1.75;10;0;-1.73;7.5;0;-1.99;8.5;0;-1.6;-1;-1;-1;-1;-1;-1;5.02;0;-3.47;-1;-1;-1;-1;-1;-1;0;0;-3.47;;;;
027_042_00010;55;0;-6.02;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;49.84;0;-6.02;48;0;-5.41;45.5;0;-5.37;26.5;0;-1.47;21;0;-1.38;18.5;0;-1.38;12;0;-1.55;11.5;0;-1.9;10;0;-1.88;7.92;0;-3.27;-1;-1;-1;-1;-1;-1;0;0;-3.27;;;;
