LOCATIONID;X_Maaiveld binnenwaarts;Y_Maaiveld binnenwaarts;Z_Maaiveld binnenwaarts;X_Insteek sloot polderzijde;Y_Insteek sloot polderzijde;Z_Insteek sloot polderzijde;X_Slootbodem polderzijde;Y_Slootbodem polderzijde;Z_Slootbodem polderzijde;X_Slootbodem dijkzijde;Y_Slootbodem dijkzijde;Z_Slootbodem dijkzijde;X_Insteek sloot dijkzijde;Y_Insteek_sloot dijkzijde;Z_Insteek sloot dijkzijde;X_Teen dijk binnenwaarts;Y_Teen dijk binnenwaarts;Z_Teen dijk binnenwaarts;X_Kruin binnenberm;Y_Kruin binnenberm;Z_Kruin binnenberm;X_Insteek binnenberm;Y_Insteek binnenberm;Z_Insteek binnenberm;X_Kruin binnentalud;Y_Kruin binnentalud;Z_Kruin binnentalud;X_Verkeersbelasting kant binnenwaarts;Y_Verkeersbelasting kant binnenwaarts;Z_Verkeersbelasting kant binnenwaarts;X_Verkeersbelasting kant buitenwaarts;Y_Verkeersbelasting kant buitenwaarts;Z_Verkeersbelasting kant buitenwaarts;X_Kruin buitentalud;Y_Kruin buitentalud;Z_Kruin buitentalud;X_Insteek buitenberm;Y_Insteek buitenberm;Z_Insteek buitenberm;X_Kruin buitenberm;Y_Kruin buitenberm;Z_Kruin buitenberm;X_Teen dijk buitenwaarts;Y_Teen dijk buitenwaarts;Z_Teen dijk buitenwaarts;X_Insteek geul;Y_Insteek geul;Z_Insteek geul;X_Teen geul;Y_Teen geul;Z_Teen geul;X_Maaiveld buitenwaarts;Y_Maaiveld buitenwaarts;Z_Maaiveld buitenwaarts;;;;
051_042_00020;21.5;0;-0.915;17.227;0;-0.936;13.94;0;-2.58;13.94;0;-2.58;11;0;-0.934;10.5;0;-0.934;-1;-1;-1;-1;-1;-1;10;0;0.079;8.5;0;0.075;6;0;0.094;4;0;0.067;-1;-1;-1;-1;-1;-1;3.7;0;-1.4;-1;-1;-1;-1;-1;-1;0;0;-1.4;;;;
051_042_00025;26.5;0;-1.174;25.5;0;-1.205;21.598;0;-2.33;17.324;0;-2.33;15.5;0;-1.562;15.5;0;-1.562;-1;-1;-1;-1;-1;-1;9;0;-0.117;9;0;-0.117;6.5;0;-1.24;8.5;0;-0.126;-1;-1;-1;-1;-1;-1;5.181;0;-1.8;-1;-1;-1;-1;-1;-1;0;0;-1.8;;;;
052_042_00009;28.81;0;-1.666;25.81;0;-1.668;24.064;0;-2.25;18.774;0;-2.25;16.812;0;-1.596;10.31;0;-0.717;-1;-1;-1;-1;-1;-1;8.31;0;-0.102;7.81;0;-0.141;5.31;0;-1.283;7.31;0;-0.084;-1;-1;-1;-1;-1;-1;5.61;0;-1.265;-1;-1;-1;-1;-1;-1;0;0;-1.265;;;;
052_042_00010;28.81;0;-1.666;25.81;0;-1.668;24.064;0;-2.25;18.774;0;-2.25;16.81;0;-1.596;10.31;0;-0.717;-1;-1;-1;-1;-1;-1;8.31;0;-0.102;7.81;0;-0.141;5.31;0;-1.283;7.31;0;-0.084;-1;-1;-1;-1;-1;-1;5.61;0;-1.265;-1;-1;-1;-1;-1;-1;0;0;-1.265;;;;
052_042_00016;22.002;0;-1.92;18.471;0;-1.92;18.471;0;-1.92;18.471;0;-1.92;17.957;0;-1.664;16.905;0;-1.58;-1;-1;-1;-1;-1;-1;8.957;0;-0.032;8.457;0;-0.034;5.957;0;-0.368;6.457;0;-0.142;-1;-1;-1;-1;-1;-1;3.641;0;-1.14;-1;-1;-1;-1;-1;-1;0;0;-1.14;;;;
052_042_00018;24.5;0;-1.15;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;14;0;-1.019;-1;-1;-1;-1;-1;-1;10.5;0;0.093;10.5;0;0.093;8;0;-0.224;9;0;0.073;-1;-1;-1;-1;-1;-1;4.331;0;-1.4;-1;-1;-1;-1;-1;-1;0;0;-1.4;;;;
052_042_00020;28.81;0;-1.666;25.81;0;-1.668;24.064;0;-2.25;18.774;0;-2.25;16.812;0;-1.596;10.31;0;-0.717;-1;-1;-1;-1;-1;-1;8.31;0;-0.102;7.81;0;-0.141;5.31;0;-1.283;7.31;0;-0.084;-1;-1;-1;-1;-1;-1;5.61;0;-1.265;-1;-1;-1;-1;-1;-1;0;0;-1.265;;;;
052_042_00021;20;0;-2.25;16.226;0;-2.25;16.226;0;-2.25;16.226;0;-2.25;15;0;-1.637;14;0;-1.591;-1;-1;-1;-1;-1;-1;10.5;0;-0.024;10;0;-0.115;7.5;0;-0.379;8;0;-0.26;-1;-1;-1;-1;-1;-1;2.837;0;-2.05;-1;-1;-1;-1;-1;-1;0;0;-2.05;;;;
052_042_00024;22.002;0;-1.92;18.471;0;-1.92;18.471;0;-1.92;18.471;0;-1.92;17.957;0;-1.664;16.905;0;-1.58;-1;-1;-1;-1;-1;-1;8.957;0;-0.032;8.957;0;-0.032;6.457;0;-0.142;6.457;0;-0.142;-1;-1;-1;-1;-1;-1;3.641;0;-1.14;-1;-1;-1;-1;-1;-1;0;0;-1.14;;;;
067_042_00001;65;0;-2.509;59.99;0;-2.506;59.99;0;-2.506;59.99;0;-2.506;55.672;0;-1.676;21.5;0;-1.55;-1;-1;-1;-1;-1;-1;18;0;-0.42;17.5;0;-0.39;15;0;-0.754;16.5;0;-0.45;-1;-1;-1;-1;-1;-1;10.277;0;-2.3;-1;-1;-1;-1;-1;-1;0;0;-2.3;;;;
067_042_00002;60;0;-3.27;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;46.633;0;-3.27;-1;-1;-1;-1;-1;-1;40.5;0;-0.17;39.5;0;-0.09;37;0;-0.03;30.5;0;-0.14;-1;-1;-1;-1;-1;-1;30.227;0;-4.53;-1;-1;-1;-1;-1;-1;0;0;-4.53;;;;
067_042_00003;60;0;-3.27;46.633;0;-3.27;46.633;0;-3.27;46.633;0;-3.27;44;0;-1.84;42.5;0;-1.39;-1;-1;-1;-1;-1;-1;40;0;-0.12;38.5;0;-0.05;36;0;-0.01;30.5;0;-0.14;-1;-1;-1;-1;-1;-1;30.227;0;-4.53;-1;-1;-1;-1;-1;-1;0;0;-4.53;;;;
067_042_00004;60;0;-3.27;46.633;0;-3.27;46.633;0;-3.27;46.633;0;-3.27;44;0;-1.84;42;0;-1.16;-1;-1;-1;-1;-1;-1;40.5;0;-0.17;39;0;-0.07;36.5;0;-0.05;30.5;0;-0.14;-1;-1;-1;-1;-1;-1;30.227;0;-4.53;-1;-1;-1;-1;-1;-1;0;0;-4.53;;;;
067_042_00007;36;0;-1.19;30.5;0;-1.31;29.246;0;-2.62;24.01;0;-2.62;21.5;0;-1.3;16;0;-1.02;-1;-1;-1;-1;-1;-1;12.5;0;0.07;12;0;0.04;9.5;0;0.09;9.5;0;0.09;-1;-1;-1;-1;-1;-1;4.118;0;-2.64;-1;-1;-1;-1;-1;-1;0;0;-2.64;;;;
067_042_00009;65;0;-2.509;59.99;0;-2.506;59.99;0;-2.506;59.99;0;-2.506;55.672;0;-1.676;21.5;0;-1.55;-1;-1;-1;-1;-1;-1;18;0;-0.42;17.5;0;-0.39;15;0;-0.754;17;0;-0.4;-1;-1;-1;-1;-1;-1;10.277;0;-2.3;-1;-1;-1;-1;-1;-1;0;0;-2.3;;;;
067_042_00010;45;0;-3.25;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;30.363;0;-3.25;26;0;-1.35;22;0;-1.13;17.5;0;-0.32;17;0;-0.47;14.5;0;-0.935;16;0;-0.39;-1;-1;-1;-1;-1;-1;10.706;0;-2.17;-1;-1;-1;-1;-1;-1;0;0;-2.17;;;;
067_042_00011;36;0;-1.19;30.5;0;-1.31;29.246;0;-2.62;24.01;0;-2.62;21.5;0;-1.3;16;0;-1.02;-1;-1;-1;-1;-1;-1;12.5;0;0.07;12;0;0.04;9.5;0;0.09;9.5;0;0.09;-1;-1;-1;-1;-1;-1;4.118;0;-2.64;-1;-1;-1;-1;-1;-1;0;0;-2.64;;;;
073_042_00002;47.177;0;-2.17;38.795;0;-2.17;38.795;0;-2.17;38.795;0;-2.17;37.177;0;-1.36;35.177;0;-0.93;-1;-1;-1;-1;-1;-1;30.177;0;0.19;29.177;0;-0.01;26.677;0;-0.6;27.677;0;-0.03;-1;-1;-1;-1;-1;-1;18.302;0;-4.2;-1;-1;-1;-1;-1;-1;0;0;-4.2;;;;
073_042_00004;47.77;0;-2.52;37.964;0;-2.52;37.964;0;-2.52;37.964;0;-2.52;36.393;0;-1.736;36.393;0;-1.736;-1;-1;-1;-1;-1;-1;30.5;0;-0.23;30;0;-0.2;27.5;0;-1.929;29.5;0;-0.2;-1;-1;-1;-1;-1;-1;20.12;0;-4.2;-1;-1;-1;-1;-1;-1;0;0;-4.2;;;;
073_042_00005;47.77;0;-2.52;37.964;0;-2.52;37.964;0;-2.52;37.964;0;-2.52;34.5;0;-0.86;34;0;-0.86;-1;-1;-1;-1;-1;-1;30.5;0;-0.23;30;0;-0.2;27.5;0;-1.929;29.5;0;-0.2;-1;-1;-1;-1;-1;-1;20.12;0;-4.2;-1;-1;-1;-1;-1;-1;0;0;-4.2;;;;
073_042_00006;47.77;0;-2.52;37.964;0;-2.52;37.964;0;-2.52;37.964;0;-2.52;34.5;0;-0.86;34;0;-0.86;-1;-1;-1;-1;-1;-1;30.5;0;-0.23;30;0;-0.2;27.5;0;-1.929;29.5;0;-0.2;-1;-1;-1;-1;-1;-1;20.12;0;-4.2;-1;-1;-1;-1;-1;-1;0;0;-4.2;;;;
073_042_00007;47.77;0;-2.52;37.964;0;-2.52;37.964;0;-2.52;37.964;0;-2.52;36.393;0;-1.736;34;0;-0.86;-1;-1;-1;-1;-1;-1;30.5;0;-0.23;30;0;-0.2;27.5;0;-1.929;29.5;0;-0.2;-1;-1;-1;-1;-1;-1;20.12;0;-4.2;-1;-1;-1;-1;-1;-1;0;0;-4.2;;;;
073_042_00008;47.77;0;-2.52;37.964;0;-2.52;37.964;0;-2.52;37.964;0;-2.52;34.5;0;-0.86;34;0;-0.86;-1;-1;-1;-1;-1;-1;30.5;0;-0.23;30;0;-0.2;27.5;0;-1.929;29.5;0;-0.2;-1;-1;-1;-1;-1;-1;20.12;0;-4.2;-1;-1;-1;-1;-1;-1;0;0;-4.2;;;;
078_042_00001;41.361;0;-1.678;38.361;0;-1.865;35.251;0;-3.42;27.34;0;-3.42;24.361;0;-1.934;24.361;0;-1.934;-1;-1;-1;-1;-1;-1;16.861;0;-0.112;16.361;0;-0.124;13.861;0;-0.049;13.861;0;-0.049;-1;-1;-1;-1;-1;-1;13.361;0;-1.64;-1;-1;-1;-1;-1;-1;0;0;-1.64;;;;
078_042_00005;41.361;0;-1.678;38.361;0;-1.865;35.251;0;-3.42;27.34;0;-3.42;24.368;0;-1.934;23.861;0;-1.849;-1;-1;-1;-1;-1;-1;16.861;0;-0.112;16.361;0;-0.124;13.861;0;-0.049;13.861;0;-0.049;-1;-1;-1;-1;-1;-1;13.361;0;-1.64;-1;-1;-1;-1;-1;-1;0;0;-1.64;;;;
082_042_00004;40;0;-0.41;37;0;-0.18;33.5;0;-2.266;33.078;0;-2.273;30.5;0;-0.84;30;0;-0.84;-1;-1;-1;-1;-1;-1;27.5;0;-0.06;26.5;0;-0.04;24;0;-0.12;23.5;0;-0.15;-1;-1;-1;-1;-1;-1;13.343;0;-4.452;-1;-1;-1;-1;-1;-1;0;0;-4.452;;;;
082_042_00005;40;0;-0.41;37;0;-0.18;33.5;0;-2.266;33.078;0;-2.273;30.5;0;-0.84;30;0;-0.84;-1;-1;-1;-1;-1;-1;27.5;0;-0.06;27;0;-0.07;24.5;0;-0.03;23.5;0;-0.15;-1;-1;-1;-1;-1;-1;13.343;0;-4.452;-1;-1;-1;-1;-1;-1;0;0;-4.452;;;;
082_042_00007;40;0;-0.41;37;0;-0.18;33.5;0;-2.266;33.078;0;-2.273;30.5;0;-0.84;30;0;-0.84;-1;-1;-1;-1;-1;-1;27.5;0;-0.06;26;0;-0.04;23.5;0;-0.15;23.5;0;-0.15;-1;-1;-1;-1;-1;-1;13.343;0;-4.452;-1;-1;-1;-1;-1;-1;0;0;-4.452;;;;
082_042_00014;40;0;-0.41;37;0;-0.18;33.5;0;-2.266;33.078;0;-2.273;30.5;0;-0.84;30;0;-0.84;-1;-1;-1;-1;-1;-1;27.5;0;-0.06;27;0;-0.07;24.5;0;-0.03;23.5;0;-0.15;-1;-1;-1;-1;-1;-1;19.9;0;-3.032;-1;-1;-1;-1;-1;-1;0;0;-4.3;;;;
082_042_00015;40;0;-0.41;37;0;-0.18;33.5;0;-2.266;33.078;0;-2.273;30.5;0;-0.84;30;0;-0.84;-1;-1;-1;-1;-1;-1;27.5;0;-0.06;27;0;-0.07;24.5;0;-0.03;23.5;0;-0.15;-1;-1;-1;-1;-1;-1;19.9;0;-3.032;-1;-1;-1;-1;-1;-1;0;0;-4.3;;;;
082_042_00016;40;0;-0.41;37;0;-0.18;33.5;0;-2.266;33.078;0;-2.273;30.5;0;-0.84;30;0;-0.84;-1;-1;-1;-1;-1;-1;27.5;0;-0.06;27;0;-0.07;24.5;0;-0.03;23.5;0;-0.15;-1;-1;-1;-1;-1;-1;19.9;0;-3.032;-1;-1;-1;-1;-1;-1;0;0;-4.3;;;;
096_042_00022;35;0;-2.77;26.269;0;-2.77;26.269;0;-2.77;26.269;0;-2.77;22.5;0;-1.19;22;0;-1.16;-1;-1;-1;-1;-1;-1;17;0;-0.24;16.5;0;-0.3;14;0;-0.824;15.5;0;-0.23;-1;-1;-1;-1;-1;-1;12.189;0;-1.8;-1;-1;-1;-1;-1;-1;0;0;-1.8;;;;
096_042_00023;35;0;-2.77;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;26.269;0;-2.77;22.5;0;-1.19;22;0;-1.16;17;0;-0.24;16.5;0;-0.3;14;0;-0.824;15.011;0;-0.338;-1;-1;-1;-1;-1;-1;12.189;0;-1.8;-1;-1;-1;-1;-1;-1;0;0;-1.8;;;;
096_042_00024;35;0;-2.77;26.269;0;-2.77;26.269;0;-2.77;26.269;0;-2.77;22.5;0;-1.19;22;0;-1.16;-1;-1;-1;-1;-1;-1;17;0;-0.24;16.5;0;-0.3;14;0;-0.824;15.5;0;-0.23;-1;-1;-1;-1;-1;-1;12.189;0;-1.8;-1;-1;-1;-1;-1;-1;0;0;-1.8;;;;
096_042_00025;35;0;-2.77;26.269;0;-2.77;26.269;0;-2.77;26.269;0;-2.77;22.5;0;-1.19;22;0;-1.16;-1;-1;-1;-1;-1;-1;17;0;-0.24;16.5;0;-0.3;14;0;-0.824;15.5;0;-0.23;-1;-1;-1;-1;-1;-1;12.189;0;-1.8;-1;-1;-1;-1;-1;-1;0;0;-1.8;;;;
101_042_00001;35.423;0;-2.02;28.337;0;-2.02;28.337;0;-2.02;28.337;0;-2.02;26.089;0;-0.81;25.089;0;-0.73;-1;-1;-1;-1;-1;-1;21.589;0;-0.11;21.089;0;-0.09;18.589;0;-2.317;20.589;0;-0.06;-1;-1;-1;-1;-1;-1;11.715;0;-4.2;-1;-1;-1;-1;-1;-1;0;0;-4.2;;;;
101_042_00005;35.423;0;-2.02;28.337;0;-2.02;28.337;0;-2.02;28.337;0;-2.02;26.089;0;-0.81;25.089;0;-0.73;-1;-1;-1;-1;-1;-1;21.589;0;-0.11;21.089;0;-0.09;18.589;0;-2.317;20.589;0;-0.06;-1;-1;-1;-1;-1;-1;11.715;0;-4.2;-1;-1;-1;-1;-1;-1;0;0;-4.2;;;;
101_042_00006;35.423;0;-2.02;28.337;0;-2.02;28.337;0;-2.02;28.337;0;-2.02;26.089;0;-0.81;25.089;0;-0.73;-1;-1;-1;-1;-1;-1;21.589;0;-0.11;21.089;0;-0.09;18.589;0;-2.317;20.589;0;-0.06;-1;-1;-1;-1;-1;-1;11.715;0;-4.2;-1;-1;-1;-1;-1;-1;0;0;-4.2;;;;
101_042_00007;35.423;0;-2.02;28.337;0;-2.02;28.337;0;-2.02;28.337;0;-2.02;26.589;0;-0.96;25.089;0;-0.73;-1;-1;-1;-1;-1;-1;21.589;0;-0.11;21.089;0;-0.09;18.589;0;-2.317;20.589;0;-0.06;-1;-1;-1;-1;-1;-1;11.715;0;-4.2;-1;-1;-1;-1;-1;-1;0;0;-4.2;;;;
101_042_00008;35.423;0;-2.02;28.337;0;-2.02;28.337;0;-2.02;28.337;0;-2.02;26.089;0;-0.81;25.089;0;-0.73;-1;-1;-1;-1;-1;-1;21.589;0;-0.11;21.089;0;-0.09;18.589;0;-2.317;20.589;0;-0.06;-1;-1;-1;-1;-1;-1;11.715;0;-4.2;-1;-1;-1;-1;-1;-1;0;0;-4.2;;;;
101_042_00009;35.423;0;-2.02;28.337;0;-2.02;28.337;0;-2.02;28.337;0;-2.02;26.089;0;-0.81;25.089;0;-0.73;-1;-1;-1;-1;-1;-1;21.589;0;-0.11;21.089;0;-0.09;18.589;0;-2.317;20.589;0;-0.06;-1;-1;-1;-1;-1;-1;11.715;0;-4.2;-1;-1;-1;-1;-1;-1;0;0;-4.2;;;;
101_042_00010;35.423;0;-2.02;28.337;0;-2.02;28.337;0;-2.02;28.337;0;-2.02;26.089;0;-0.81;25.089;0;-0.73;-1;-1;-1;-1;-1;-1;21.589;0;-0.11;21.589;0;-0.11;19.089;0;-2.252;20.589;0;-0.06;-1;-1;-1;-1;-1;-1;11.715;0;-4.2;-1;-1;-1;-1;-1;-1;0;0;-4.2;;;;
101_042_00011;35.423;0;-2.02;28.337;0;-2.02;28.337;0;-2.02;28.337;0;-2.02;26.589;0;-0.96;25.089;0;-0.73;-1;-1;-1;-1;-1;-1;21.589;0;-0.11;21.589;0;-0.11;19.089;0;-2.252;20.589;0;-0.06;-1;-1;-1;-1;-1;-1;11.715;0;-4.2;-1;-1;-1;-1;-1;-1;0;0;-4.2;;;;
116_042_00001;23.008;0;-2.22;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;19.507;0;-2.22;-1;-1;-1;-1;-1;-1;13.87;0;-0.18;13.87;0;-0.18;11.37;0;-0.752;12.87;0;-0.2;-1;-1;-1;-1;-1;-1;6.803;0;-2.32;-1;-1;-1;-1;-1;-1;0;0;-2.32;;;;
116_042_00002;23.008;0;-2.22;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;19.507;0;-2.22;-1;-1;-1;-1;-1;-1;13.87;0;-0.18;13.87;0;-0.18;11.37;0;-0.752;12.87;0;-0.2;-1;-1;-1;-1;-1;-1;6.803;0;-2.32;-1;-1;-1;-1;-1;-1;0;0;-2.32;;;;
116_042_00005;31.926;0;-2.07;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;25;0;-1.41;-1;-1;-1;-1;-1;-1;22.5;0;-0.29;21.5;0;-0.32;19;0;-0.36;16.5;0;-0.31;-1;-1;-1;-1;-1;-1;10.997;0;-2.3;-1;-1;-1;-1;-1;-1;0;0;-2.3;;;;
116_042_00006;34;0;-2.178;27.75;0;-2.189;27.75;0;-2.189;27.75;0;-2.189;26;0;-1.27;26;0;-1.27;-1;-1;-1;-1;-1;-1;22;0;0.14;21;0;0.17;18.5;0;0.17;15.5;0;0.15;-1;-1;-1;-1;-1;-1;13.924;0;-2.38;-1;-1;-1;-1;-1;-1;0;0;-2.38;;;;
116_042_00007;23.008;0;-2.22;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;19.507;0;-2.22;-1;-1;-1;-1;-1;-1;13.87;0;-0.18;13.87;0;-0.18;11.37;0;-0.752;12.87;0;-0.2;-1;-1;-1;-1;-1;-1;6.803;0;-2.32;-1;-1;-1;-1;-1;-1;0;0;-2.32;;;;
116_042_00008;23.008;0;-2.22;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;19.507;0;-2.22;-1;-1;-1;-1;-1;-1;13.87;0;-0.18;13.37;0;-0.19;10.87;0;-0.924;12.87;0;-0.2;-1;-1;-1;-1;-1;-1;6.861;0;-2.3;-1;-1;-1;-1;-1;-1;0;0;-2.32;;;;
116_042_00009;23.008;0;-2.22;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;19.507;0;-2.22;-1;-1;-1;-1;-1;-1;13.87;0;-0.18;13.37;0;-0.19;10.87;0;-0.924;12.87;0;-0.2;-1;-1;-1;-1;-1;-1;6.803;0;-2.32;-1;-1;-1;-1;-1;-1;0;0;-2.32;;;;
116_042_00016;23.008;0;-2.22;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;19.507;0;-2.22;-1;-1;-1;-1;-1;-1;13.87;0;-0.18;13.37;0;-0.19;10.87;0;-0.924;12.87;0;-0.2;-1;-1;-1;-1;-1;-1;6.803;0;-2.32;-1;-1;-1;-1;-1;-1;0;0;-2.32;;;;
116_042_00017;40;0;-2.201;25.914;0;-2.17;25.914;0;-2.17;25.914;0;-2.17;24.5;0;-1.35;23.5;0;-1.27;-1;-1;-1;-1;-1;-1;17;0;-0.22;16.5;0;-0.23;14;0;-0.913;16;0;-0.21;-1;-1;-1;-1;-1;-1;12.716;0;-1.34;-1;-1;-1;-1;-1;-1;0;0;-1.34;;;;
116_042_00018;40;0;-2.201;25.914;0;-2.17;25.914;0;-2.17;25.914;0;-2.17;24.5;0;-1.35;23.5;0;-1.27;-1;-1;-1;-1;-1;-1;17;0;-0.22;17;0;-0.22;14.5;0;-0.743;16;0;-0.21;-1;-1;-1;-1;-1;-1;12.716;0;-1.34;-1;-1;-1;-1;-1;-1;0;0;-1.34;;;;
116_042_00019;31.926;0;-2.07;26.357;0;-2.07;26.357;0;-2.07;26.357;0;-2.07;24;0;-0.73;23.5;0;-0.73;-1;-1;-1;-1;-1;-1;22.5;0;-0.29;21.5;0;-0.32;19;0;-0.36;16.5;0;-0.31;-1;-1;-1;-1;-1;-1;10.997;0;-2.3;-1;-1;-1;-1;-1;-1;0;0;-2.3;;;;
118_042_00001;35;0;-2.75;26.956;0;-2.75;26.956;0;-2.75;26.956;0;-2.75;24;0;-1.69;23.5;0;-1.62;-1;-1;-1;-1;-1;-1;19;0;-0.17;18.5;0;-0.12;16;0;-0.6;18;0;-0.14;-1;-1;-1;-1;-1;-1;8.618;0;-3.604;-1;-1;-1;-1;-1;-1;0;0;-3.641;;;;
118_042_00002;35;0;-2.75;26.956;0;-2.75;26.956;0;-2.75;26.956;0;-2.75;24;0;-1.69;23.5;0;-1.62;-1;-1;-1;-1;-1;-1;19.5;0;-0.24;19;0;-0.17;16.5;0;-0.6;18;0;-0.14;-1;-1;-1;-1;-1;-1;8.618;0;-3.604;-1;-1;-1;-1;-1;-1;0;0;-3.641;;;;
118_042_00003;35;0;-2.75;26.956;0;-2.75;26.956;0;-2.75;26.956;0;-2.75;24;0;-1.69;24;0;-1.69;-1;-1;-1;-1;-1;-1;19;0;-0.17;19;0;-0.17;16.5;0;-0.6;18;0;-0.14;-1;-1;-1;-1;-1;-1;8.618;0;-3.604;-1;-1;-1;-1;-1;-1;0;0;-3.641;;;;
118_042_00004;35;0;-2.75;26.956;0;-2.75;26.956;0;-2.75;26.956;0;-2.75;24;0;-1.69;23.5;0;-1.62;-1;-1;-1;-1;-1;-1;19.5;0;-0.24;19;0;-0.17;16.5;0;-0.6;18;0;-0.14;-1;-1;-1;-1;-1;-1;8.618;0;-3.604;-1;-1;-1;-1;-1;-1;0;0;-3.641;;;;
118_042_00005;35;0;-2.75;26.956;0;-2.75;26.956;0;-2.75;26.956;0;-2.75;24;0;-1.69;23.5;0;-1.62;-1;-1;-1;-1;-1;-1;19;0;-0.17;18.5;0;-0.12;16;0;-0.6;18;0;-0.14;-1;-1;-1;-1;-1;-1;8.618;0;-3.604;-1;-1;-1;-1;-1;-1;0;0;-3.641;;;;
118_042_00006;35;0;-2.75;26.956;0;-2.75;26.956;0;-2.75;26.956;0;-2.75;24;0;-1.69;23.5;0;-1.62;-1;-1;-1;-1;-1;-1;19.5;0;-0.24;19.5;0;-0.24;17;0;-0.5;18;0;-0.14;-1;-1;-1;-1;-1;-1;8.618;0;-3.604;-1;-1;-1;-1;-1;-1;0;0;-3.641;;;;
118_042_00007;35;0;-2.75;26.956;0;-2.75;26.956;0;-2.75;26.956;0;-2.75;24;0;-1.69;24;0;-1.69;-1;-1;-1;-1;-1;-1;19.5;0;-0.24;19;0;-0.17;16.5;0;-0.6;18;0;-0.14;-1;-1;-1;-1;-1;-1;8.618;0;-3.604;-1;-1;-1;-1;-1;-1;0;0;-3.641;;;;
123_042_00015;54.218;0;-2.17;44.15;0;-2.17;44.15;0;-2.17;44.15;0;-2.17;41.5;0;-1.11;41.5;0;-1.11;-1;-1;-1;-1;-1;-1;38.5;0;-0.52;37.5;0;-0.49;35;0;-0.44;33.5;0;-0.09;-1;-1;-1;-1;-1;-1;24.62;0;-4.2;-1;-1;-1;-1;-1;-1;0;0;-4.2;;;;
123_042_00021;54.218;0;-2.17;44.15;0;-2.17;44.15;0;-2.17;44.15;0;-2.17;41.5;0;-1.11;41.5;0;-1.11;-1;-1;-1;-1;-1;-1;39;0;-0.4;38.5;0;-0.52;36;0;-0.48;33.5;0;-0.09;-1;-1;-1;-1;-1;-1;24.62;0;-4.2;-1;-1;-1;-1;-1;-1;0;0;-4.2;;;;
123_042_00022;54.218;0;-2.17;44.15;0;-2.17;44.15;0;-2.17;44.15;0;-2.17;41.5;0;-1.11;41.5;0;-1.11;-1;-1;-1;-1;-1;-1;39.5;0;-0.58;38.5;0;-0.52;36;0;-0.48;33.5;0;-0.09;-1;-1;-1;-1;-1;-1;24.62;0;-4.2;-1;-1;-1;-1;-1;-1;0;0;-4.2;;;;
123_042_00025;54.218;0;-2.17;44.15;0;-2.17;44.15;0;-2.17;44.15;0;-2.17;41.5;0;-1.11;41.5;0;-1.11;-1;-1;-1;-1;-1;-1;39.5;0;-0.58;38.5;0;-0.52;36;0;-0.48;33.5;0;-0.09;-1;-1;-1;-1;-1;-1;24.62;0;-4.2;-1;-1;-1;-1;-1;-1;0;0;-4.2;;;;
127_042_00007;26.49;0;0.36;26;0;0.27;19.936;0;-2.32;19.936;0;-2.32;18;0;-0.92;17.5;0;-0.92;-1;-1;-1;-1;-1;-1;15.5;0;0.22;15;0;0.26;12.5;0;0.26;11;0;0.23;-1;-1;-1;-1;-1;-1;6.751;0;-1.518;-1;-1;-1;-1;-1;-1;0;0;-1.518;;;;
127_042_00008;26.49;0;0.36;26;0;0.27;19.936;0;-2.32;19.936;0;-2.32;18;0;-0.92;17.5;0;-0.92;-1;-1;-1;-1;-1;-1;15.5;0;0.22;15;0;0.26;12.5;0;0.26;11;0;0.23;-1;-1;-1;-1;-1;-1;6.751;0;-1.518;-1;-1;-1;-1;-1;-1;0;0;-1.518;;;;
127_042_00009;26.49;0;0.36;26;0;0.27;19.936;0;-2.32;19.936;0;-2.32;18;0;-0.92;17.5;0;-0.92;-1;-1;-1;-1;-1;-1;15.5;0;0.22;15;0;0.26;12.5;0;0.26;11;0;0.23;-1;-1;-1;-1;-1;-1;6.751;0;-1.518;-1;-1;-1;-1;-1;-1;0;0;-1.518;;;;
127_042_00012;26.49;0;0.36;26;0;0.27;19.936;0;-2.32;19.936;0;-2.32;18;0;-0.92;17.5;0;-0.92;-1;-1;-1;-1;-1;-1;15.5;0;0.22;15;0;0.26;12.5;0;0.26;11;0;0.23;-1;-1;-1;-1;-1;-1;6.751;0;-1.518;-1;-1;-1;-1;-1;-1;0;0;-1.518;;;;
