LOCATIONID;X_Maaiveld binnenwaarts;Y_Maaiveld binnenwaarts;Z_Maaiveld binnenwaarts;X_Insteek sloot polderzijde;Y_Insteek sloot polderzijde;Z_Insteek sloot polderzijde;X_Slootbodem polderzijde;Y_Slootbodem polderzijde;Z_Slootbodem polderzijde;X_Slootbodem dijkzijde;Y_Slootbodem dijkzijde;Z_Slootbodem dijkzijde;X_Insteek sloot dijkzijde;Y_Insteek_sloot dijkzijde;Z_Insteek sloot dijkzijde;X_Teen dijk binnenwaarts;Y_Teen dijk binnenwaarts;Z_Teen dijk binnenwaarts;X_Kruin binnenberm;Y_Kruin binnenberm;Z_Kruin binnenberm;X_Insteek binnenberm;Y_Insteek binnenberm;Z_Insteek binnenberm;X_Kruin binnentalud;Y_Kruin binnentalud;Z_Kruin binnentalud;X_Verkeersbelasting kant binnenwaarts;Y_Verkeersbelasting kant binnenwaarts;Z_Verkeersbelasting kant binnenwaarts;X_Verkeersbelasting kant buitenwaarts;Y_Verkeersbelasting kant buitenwaarts;Z_Verkeersbelasting kant buitenwaarts;X_Kruin buitentalud;Y_Kruin buitentalud;Z_Kruin buitentalud;X_Insteek buitenberm;Y_Insteek buitenberm;Z_Insteek buitenberm;X_Kruin buitenberm;Y_Kruin buitenberm;Z_Kruin buitenberm;X_Teen dijk buitenwaarts;Y_Teen dijk buitenwaarts;Z_Teen dijk buitenwaarts;X_Insteek geul;Y_Insteek geul;Z_Insteek geul;X_Teen geul;Y_Teen geul;Z_Teen geul;X_Maaiveld buitenwaarts;Y_Maaiveld buitenwaarts;Z_Maaiveld buitenwaarts
249_042_00164;40.161;0;-3.981;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;24.599;0;-3.754;-1;-1;-1;-1;-1;-1;10.04;0;-1.426;9.538;0;-1.389;7.038;0;-1.523;8.032;0;-1.414;-1;-1;-1;-1;-1;-1;5.537;0;-2.271;-1;-1;-1;-1;-1;-1;0;0;-2.271
249_042_00165;40.807;0;-4.236;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;26.754;0;-3.907;-1;-1;-1;-1;-1;-1;16.716;0;-1.464;16.214;0;-1.452;13.714;0;-1.956;15.712;0;-1.419;-1;-1;-1;-1;-1;-1;11.905;0;-3.159;-1;-1;-1;-1;-1;-1;0;0;-3.159
249_042_00166;43.548;0;-4.306;40.761;0;-4.43;37.842;0;-5.919;37.842;0;-5.919;36.189;0;-4.965;36.189;0;-4.965;-1;-1;-1;-1;-1;-1;23.649;0;-1.414;22.256;0;-1.487;19.756;0;-1.464;15.986;0;-1.349;-1;-1;-1;-1;-1;-1;11.399;0;-3.206;-1;-1;-1;-1;-1;-1;0;0;-3.206
249_042_00167;71.5;0;-4.45;47.581;0;-5.226;47.55;0;-6.36;45.66;0;-6.68;44.77;0;-5.22;18.88;0;-2.46;-1;-1;-1;-1;-1;-1;16.92;0;-1.89;16.92;0;-1.89;14.42;0;-2.218;15;0;-1.85;-1;-1;-1;-1;-1;-1;14.34;0;-2.64;-1;-1;-1;-1;-1;-1;0;0;-2.88
249_042_00168;40.111;0;-4.631;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;26.586;0;-4.427;-1;-1;-1;-1;-1;-1;10.055;0;-1.911;9.054;0;-1.801;6.554;0;-1.621;3.543;0;-1.658;-1;-1;-1;-1;-1;-1;0.742;0;-3.143;-1;-1;-1;-1;-1;-1;0;0;-3.143
249_042_00169;37.898;0;-5.388;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;31.943;0;-5.382;-1;-1;-1;-1;-1;-1;9.204;0;-1.467;8.663;0;-1.423;6.163;0;-1.776;6.497;0;-1.584;-1;-1;-1;-1;-1;-1;4.156;0;-3.085;-1;-1;-1;-1;-1;-1;0;0;-3.151
249_042_00170;42.514;0;-5.088;38.023;0;-5.652;37.109;0;-6.564;36.286;0;-6.543;34.094;0;-5.33;26.796;0;-4.952;-1;-1;-1;-1;-1;-1;8.831;0;-1.435;8.831;0;-1.435;6.331;0;-1.824;8.27;0;-1.425;-1;-1;-1;-1;-1;-1;4.224;0;-3.151;-1;-1;-1;-1;-1;-1;0;0;-3.151
249_042_00171;42.137;0;-5.783;40.485;0;-5.817;39.419;0;-6.681;38.137;0;-6.697;36.336;0;-5.454;33.541;0;-4.902;-1;-1;-1;-1;-1;-1;9.503;0;-1.481;9.503;0;-1.481;7.003;0;-2.125;8.944;0;-1.466;-1;-1;-1;-1;-1;-1;5.467;0;-3.149;-1;-1;-1;-1;-1;-1;0;0;-3.149
249_042_00172;42.137;0;-5.783;40.485;0;-5.817;39.419;0;-6.681;38.137;0;-6.697;35.777;0;-5.257;32.982;0;-4.884;-1;-1;-1;-1;-1;-1;9.503;0;-1.481;9.503;0;-1.481;7.003;0;-2.125;8.944;0;-1.466;-1;-1;-1;-1;-1;-1;5.467;0;-3.149;-1;-1;-1;-1;-1;-1;0;0;-3.149
249_042_00173;48;0;-5.358;29.101;0;-5.151;26.727;0;-5.892;22.779;0;-5.879;22.186;0;-5.24;22.186;0;-5.24;-1;-1;-1;-1;-1;-1;7.945;0;-1.823;7.945;0;-1.823;5.445;0;-2.331;6.758;0;-1.829;-1;-1;-1;-1;-1;-1;3.772;0;-3.446;-1;-1;-1;-1;-1;-1;0;0;-3.446
249_042_00174;35.002;0;-5.12;30.742;0;-5.107;29.892;0;-5.991;28.942;0;-6.009;27.562;0;-4.956;22.791;0;-4.379;-1;-1;-1;-1;-1;-1;6.89;0;-1.793;6.36;0;-1.747;3.86;0;-1.822;3.18;0;-1.912;-1;-1;-1;-1;-1;-1;1.38;0;-3.112;-1;-1;-1;-1;-1;-1;0;0;-3.112
249_042_00175;48;0;-5.358;29.101;0;-5.151;26.727;0;-5.892;22.779;0;-5.879;22.186;0;-5.24;22.186;0;-5.24;-1;-1;-1;-1;-1;-1;7.945;0;-1.823;7.945;0;-1.823;5.445;0;-2.331;6.758;0;-1.829;-1;-1;-1;-1;-1;-1;3.772;0;-3.446;-1;-1;-1;-1;-1;-1;0;0;-3.446
249_042_00176;50.312;0;-3.544;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;42.649;0;-3.243;-1;-1;-1;-1;-1;-1;8.931;0;-1.766;8.931;0;-1.766;6.431;0;-1.743;6.431;0;-1.743;-1;-1;-1;-1;-1;-1;2.533;0;-2.975;-1;-1;-1;-1;-1;-1;0;0;-2.975
249_042_00177;50.312;0;-3.544;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;29.366;0;-2.721;-1;-1;-1;-1;-1;-1;9.442;0;-1.82;8.931;0;-1.766;6.431;0;-1.743;6.377;0;-1.741;-1;-1;-1;-1;-1;-1;2.533;0;-2.975;-1;-1;-1;-1;-1;-1;0;0;-2.975
249_042_00178;47.546;0;-5.793;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;40.537;0;-5.855;-1;-1;-1;-1;-1;-1;24.518;0;-1.682;24.017;0;-1.681;21.517;0;-1.687;21.013;0;-1.693;-1;-1;-1;-1;-1;-1;18.366;0;-2.765;-1;-1;-1;-1;-1;-1;0;0;-2.765
249_042_00179;36.596;0;-3.001;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;32.986;0;-2.984;-1;-1;-1;-1;-1;-1;30.689;0;-1.603;30.169;0;-1.533;27.669;0;-1.835;28.609;0;-1.612;4.161;0;-4.884;2.081;0;-5.182;0.52;0;-5.642;-1;-1;-1;-1;-1;-1;0;0;-5.642
249_042_00180;60;0;-5.26;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;57;0;-5.226;41.455;0;-4.924;31.091;0;-4.397;20.727;0;-2.28;15.546;0;-1.82;13.046;0;-1.797;10.364;0;-1.764;-1;-1;-1;-1;-1;-1;8.564;0;-2.964;-1;-1;-1;-1;-1;-1;0;0;-2.964
249_042_00181;60;0;-5.153;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;57.765;0;-5.132;44.637;0;-4.795;26.257;0;-4.088;18.38;0;-1.766;15.754;0;-1.523;13.254;0;-1.536;10.503;0;-1.703;-1;-1;-1;-1;-1;-1;8.703;0;-2.903;-1;-1;-1;-1;-1;-1;0;0;-2.903
