Profielnaam;X_Maaiveld binnenwaarts;Y_Maaiveld binnenwaarts;Z_Maaiveld binnenwaarts;X_Insteek sloot polderzijde;Y_Insteek sloot polderzijde;Z_Insteek sloot polderzijde;X_Slootbodem polderzijde;Y_Slootbodem polderzijde;Z_Slootbodem polderzijde;X_Slootbodem dijkzijde;Y_Slootbodem dijkzijde;Z_Slootbodem dijkzijde;X_Insteek sloot dijkzijde;Y_Insteek_sloot dijkzijde;Z_Insteek sloot dijkzijde;X_Teen dijk binnenwaarts;Y_Teen dijk binnenwaarts;Z_Teen dijk binnenwaarts;X_Kruin binnenberm;Y_Kruin binnenberm;Z_Kruin binnenberm;X_Insteek binnenberm;Y_Insteek binnenberm;Z_Insteek binnenberm;X_Kruin binnentalud;Y_Kruin binnentalud;Z_Kruin binnentalud;X_Verkeersbelasting kant binnenwaarts;Y_Verkeersbelasting kant binnenwaarts;Z_Verkeersbelasting kant binnenwaarts;X_Verkeersbelasting kant buitenwaarts;Y_Verkeersbelasting kant buitenwaarts;Z_Verkeersbelasting kant buitenwaarts;X_Kruin buitentalud;Y_Kruin buitentalud;Z_Kruin buitentalud;X_Insteek buitenberm;Y_Insteek buitenberm;Z_Insteek buitenberm;X_Kruin buitenberm;Y_Kruin buitenberm;Z_Kruin buitenberm;X_Teen dijk buitenwaarts;Y_Teen dijk buitenwaarts;Z_Teen dijk buitenwaarts;X_Insteek geul;Y_Insteek geul;Z_Insteek geul;X_Teen geul;Y_Teen geul;Z_Teen geul;X_Maaiveld buitenwaarts;Y_Maaiveld buitenwaarts;Z_Maaiveld buitenwaarts;;;;
095_042_00019;61.649;0;-1.69;44.098;0;-1.96;42.928;0;-3;24.206;0;-3;23.036;0;-1.96;23.036;0;-1.96;-1;-1;-1;-1;-1;-1;19.526;0;-0.104;17.186;0;-0.056;14.686;0;-0.118;14.846;0;-0.085;-1;-1;-1;-1;-1;-1;11.901;0;-2.79;-1;-1;-1;-1;-1;-1;0;0;-4.062;;;;
095_042_00020;58.903;0;-1.131;48.302;0;-1.66;47.124;0;-2.66;27.1;0;-2.66;25.922;0;-1.66;25.922;0;-1.66;-1;-1;-1;-1;-1;-1;21.21;0;-0.172;18.855;0;-0.127;16.355;0;-0.104;14.143;0;-0.325;-1;-1;-1;-1;-1;-1;13.757;0;-2.824;-1;-1;-1;-1;-1;-1;0;0;-3.8;;;;
095_042_00021;57.306;0;-0.937;39.999;0;-1.5;38.899;0;-2.6;34.772;0;-2.6;33.515;0;-1.343;33.515;0;-1.343;-1;-1;-1;-1;-1;-1;20.537;0;-0.116;20.537;0;-0.116;18.037;0;-0.128;15.744;0;-0.215;-1;-1;-1;-1;-1;-1;15.643;0;-2.824;-1;-1;-1;-1;-1;-1;0;0;-3.8;;;;
095_042_00022;56.082;0;-2.6;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;19.382;0;-1.233;-1;-1;-1;-1;-1;-1;14.562;0;-0.299;14.139;0;-0.149;11.639;0;-0.35;14.139;0;-0.149;10.333;0;-1.262;8.896;0;-1.482;8.189;0;-2.001;-1;-1;-1;-1;-1;-1;0;0;-3;;;;
095_042_00023;56.082;0;-2.6;52.461;0;-2.6;52.461;0;-2.6;52.461;0;-2.6;50.839;0;-1.306;16.881;0;-1.084;-1;-1;-1;-1;-1;-1;14.139;0;-0.149;14.139;0;-0.149;11.639;0;-0.35;14.139;0;-0.149;-1;-1;-1;-1;-1;-1;4.97;0;-3;-1;-1;-1;-1;-1;-1;0;0;-3;;;;
095_042_00024;57.884;0;-2.6;55.993;0;-2.6;55.993;0;-2.6;30.593;0;-2.6;29.323;0;-1.55;28.053;0;-1.531;-1;-1;-1;-1;-1;-1;13.844;0;-0.336;12.814;0;-0.06;10.314;0;-0.36;12.814;0;-0.06;-1;-1;-1;-1;-1;-1;3.671;0;-3;-1;-1;-1;-1;-1;-1;0;0;-3;;;;
097_042_00007;72.666;0;-4.19;57.376;0;-3.8;55.376;0;-5.13;55.376;0;-5.13;54.376;0;-4.17;50.878;0;-3.562;-1;-1;-1;-1;-1;-1;29.878;0;-0.397;27.878;0;-0.35;25.378;0;-0.219;18.878;0;-0.296;-1;-1;-1;-1;-1;-1;16.971;0;-2.25;-1;-1;-1;-1;-1;-1;0;0;-3.8;;;;
097_042_00008;64.02;0;-3.77;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;32.85;0;-2.72;-1;-1;-1;-1;-1;-1;11.51;0;-1.04;11.04;0;-1.04;8.54;0;-1.009;2.6;0;-1.21;-1;-1;-1;-1;-1;-1;1.37;0;-2.28;-1;-1;-1;-1;-1;-1;0;0;-2.61;;;;
097_042_00009;55;0;-3.75;39.66;0;-3.78;37.45;0;-5.13;36.47;0;-5.11;34.12;0;-3.6;33.79;0;-3.48;-1;-1;-1;-1;-1;-1;17.73;0;-1.26;17.73;0;-1.26;15.23;0;-1.134;15;0;-1.17;-1;-1;-1;-1;-1;-1;12.49;0;-2.16;-1;-1;-1;-1;-1;-1;0;0;-2.33;;;;
097_042_00010;60;0;-5.4;42;0;-5.4;42;0;-5.4;42;0;-5.4;40.5;0;-4.129;39.5;0;-4.099;-1;-1;-1;-1;-1;-1;18.5;0;-1.155;18;0;-1.103;15.5;0;-1.464;17;0;-1.106;-1;-1;-1;-1;-1;-1;13.76;0;-2.609;-1;-1;-1;-1;-1;-1;0;0;-2.609;;;;
097_042_00011;101.083;0;-4.205;90.697;0;-4.205;89.897;0;-4.41;87.825;0;-4.41;87.197;0;-4.299;85.697;0;-3.468;-1;-1;-1;-1;-1;-1;65.697;0;-0.219;64.697;0;-0.208;62.197;0;-0.322;56.697;0;-0.315;-1;-1;-1;-1;-1;-1;29.2;0;-3.164;-1;-1;-1;-1;-1;-1;0;0;-3.164;;;;
097_042_00012;43.898;0;-4.045;43.789;0;-4.046;42.789;0;-5.046;42.289;0;-5.297;41.289;0;-4.297;17.513;0;-0.921;-1;-1;-1;-1;-1;-1;14.789;0;-0.098;14.289;0;-0.028;11.789;0;-0.401;12.789;0;-0.138;-1;-1;-1;-1;-1;-1;10.2;0;-1.46;-1;-1;-1;-1;-1;-1;0;0;-1.46;;;;
097_042_00013;68.5;0;-3.539;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;53;0;-3.163;-1;-1;-1;-1;-1;-1;28;0;-0.223;27;0;-0.198;24.5;0;-0.14;21.5;0;-0.001;-1;-1;-1;-1;-1;-1;10.497;0;-3.8;-1;-1;-1;-1;-1;-1;0;0;-3.8;;;;
142_042_00005;55;0;-1.793;21.531;0;-1.341;20.3;0;-2.95;20.3;0;-2.95;18.138;0;-0.833;18.138;0;-0.833;-1;-1;-1;-1;-1;-1;17.491;0;-0.212;15.471;0;0.041;12.971;0;0.112;10.272;0;-0.101;-1;-1;-1;-1;-1;-1;9.254;0;-2.499;-1;-1;-1;-1;-1;-1;0;0;-4.106;;;;
142_042_00015;60;0;-1.537;28.952;0;-2.03;27.941;0;-3.02;25.919;0;-3.02;24.908;0;-2.03;24.908;0;-2.03;-1;-1;-1;-1;-1;-1;21.874;0;-0.374;21.874;0;-0.374;19.374;0;-0.148;17.178;0;-0.151;-1;-1;-1;-1;-1;-1;15.786;0;-2.375;-1;-1;-1;-1;-1;-1;0;0;-3.854;;;;
142_042_00016;60;0;-2.384;28.419;0;-1.694;26.389;0;-2.909;26.072;0;-2.885;24.191;0;-0.826;24.191;0;-0.826;-1;-1;-1;-1;-1;-1;22.179;0;-0.033;22.179;0;-0.033;19.679;0;0.081;17.245;0;0.064;-1;-1;-1;-1;-1;-1;14.212;0;-3.16;-1;-1;-1;-1;-1;-1;0;0;-3.932;;;;
142_042_00017;55;0;-2.72;23.819;0;-1.636;21.849;0;-2.918;21.771;0;-2.911;20.811;0;-2.03;20.811;0;-2.03;-1;-1;-1;-1;-1;-1;17.803;0;-0.163;15.797;0;0.186;13.297;0;0.149;11.786;0;-0.127;-1;-1;-1;-1;-1;-1;9.217;0;-3.198;-1;-1;-1;-1;-1;-1;0;0;-3.361;;;;
142_042_00018;45.22;0;-1.041;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;14.838;0;-0.966;-1;-1;-1;-1;-1;-1;12.076;0;-0.124;12.076;0;-0.124;9.576;0;-0.063;8.914;0;-0.106;6.905;0;-0.976;5.551;0;-1.289;2.075;0;-2.543;-1;-1;-1;-1;-1;-1;0;0;-2.543;;;;
142_042_00019;45.22;0;-1.041;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;14.838;0;-0.966;-1;-1;-1;-1;-1;-1;12.076;0;-0.124;12.076;0;-0.124;9.576;0;-0.063;8.914;0;-0.106;-1;-1;-1;-1;-1;-1;2.075;0;-2.543;-1;-1;-1;-1;-1;-1;0;0;-2.543;;;;
142_042_00020;60.088;0;-1.202;39.369;0;-0.981;35.148;0;-3;33.037;0;-3;30.926;0;-1.126;30.926;0;-1.126;-1;-1;-1;-1;-1;-1;28.815;0;-0.04;26.705;0;0.147;24.205;0;0.206;22.483;0;0.194;-1;-1;-1;-1;-1;-1;19.16;0;-2.848;-1;-1;-1;-1;-1;-1;0;0;-4.132;;;;
147_042_00004;59.923;0;-1.878;45.105;0;-2.259;44.13;0;-3.173;40.19;0;-3.173;39.104;0;-2.26;39.104;0;-2.26;-1;-1;-1;-1;-1;-1;35.103;0;-0.101;31.103;0;-0.08;28.603;0;0.119;17.101;0;0.129;-1;-1;-1;-1;-1;-1;14.323;0;-2.77;-1;-1;-1;-1;-1;-1;0;0;-3.8;;;;
147_042_00011;48;0;-4.772;34.94;0;-4.864;33.325;0;-6.433;33.325;0;-6.433;31.956;0;-5.017;30.237;0;-4.842;-1;-1;-1;-1;-1;-1;9.001;0;-2.242;9.001;0;-2.242;6.501;0;-2.266;6.346;0;-2.268;-1;-1;-1;-1;-1;-1;3.796;0;-3.968;-1;-1;-1;-1;-1;-1;0;0;-3.968;;;;
147_042_00015;95;0;-4.6;86.183;0;-4.591;85.113;0;-6.45;83.846;0;-6.45;82.502;0;-4.455;53.318;0;-4.241;-1;-1;-1;-1;-1;-1;17.017;0;-0.376;17.017;0;-0.376;14.517;0;-0.842;14.621;0;-0.287;-1;-1;-1;-1;-1;-1;14.03;0;-1.31;-1;-1;-1;-1;-1;-1;0;0;-2.38;;;;
147_042_00016;55.8;0;-1.132;22.731;0;-0.726;21.566;0;-2.275;20.074;0;-2.175;19.316;0;-0.977;19.316;0;-0.977;-1;-1;-1;-1;-1;-1;17.17;0;-0.371;15.023;0;-0.341;12.523;0;-0.446;12.877;0;-0.342;-1;-1;-1;-1;-1;-1;9.38;0;-1.932;-1;-1;-1;-1;-1;-1;0;0;-2.382;;;;
147_042_00017;55.8;0;-1.132;22.731;0;-0.726;21.566;0;-2.275;20.074;0;-2.175;19.316;0;-0.977;19.316;0;-0.977;-1;-1;-1;-1;-1;-1;17.17;0;-0.371;17.17;0;-0.371;14.67;0;-0.341;12.877;0;-0.342;-1;-1;-1;-1;-1;-1;9.38;0;-1.932;-1;-1;-1;-1;-1;-1;0;0;-2.382;;;;
147_042_00018;169.006;0;-5.017;168.251;0;-5.217;167.109;0;-6.45;164.618;0;-6.441;152.791;0;-4.91;94.263;0;-4.351;85.53;0;-2.504;68.065;0;-2.088;61.516;0;-1.537;59.658;0;-1.497;57.158;0;-1.501;54.966;0;-1.5;-1;-1;-1;-1;-1;-1;30;0;-2.5;-1;-1;-1;-1;-1;-1;0;0;-3;;;;
147_042_00019;59.923;0;-1.878;45.105;0;-2.259;43.674;0;-3.6;40.47;0;-3.6;38.891;0;-2.102;38.891;0;-2.102;-1;-1;-1;-1;-1;-1;35.103;0;-0.101;33.103;0;-0.089;30.603;0;-0.034;17.101;0;0.129;-1;-1;-1;-1;-1;-1;14.323;0;-2.77;-1;-1;-1;-1;-1;-1;0;0;-3.8;;;;
147_042_00020;59.923;0;-2.124;34.276;0;-1.937;32.873;0;-3.25;30.32;0;-3.25;28.892;0;-2.028;24.18;0;-1.635;-1;-1;-1;-1;-1;-1;20.142;0;-0.062;20.142;0;-0.062;17.642;0;-0.579;18.122;0;-0.061;-1;-1;-1;-1;-1;-1;16.773;0;-2.973;-1;-1;-1;-1;-1;-1;0;0;-3.994;;;;
147_042_00021;59.923;0;-1.676;33.372;0;-1.57;32.133;0;-2.95;28.388;0;-2.95;27.193;0;-1.982;27.193;0;-1.982;-1;-1;-1;-1;-1;-1;23.073;0;-0.352;21.013;0;-0.282;18.513;0;-0.231;14.363;0;-0.29;-1;-1;-1;-1;-1;-1;13.428;0;-3.189;-1;-1;-1;-1;-1;-1;0;0;-3.65;;;;
147_042_00022;59.116;0;-2.95;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;52.446;0;-2.95;-1;-1;-1;-1;-1;-1;46.211;0;-0.841;39.758;0;-0.689;37.258;0;-0.576;12.6;0;-0.576;-1;-1;-1;-1;-1;-1;11.991;0;-1.67;-1;-1;-1;-1;-1;-1;0;0;-3.257;;;;
147_042_00023;112.039;0;-2.131;98.595;0;-4.957;97.888;0;-6.45;96.854;0;-6.45;96.303;0;-4.988;50.513;0;-2.13;-1;-1;-1;-1;-1;-1;46.211;0;-0.841;44.06;0;-0.755;41.56;0;-0.715;12.6;0;-0.576;-1;-1;-1;-1;-1;-1;12.36;0;-1.642;-1;-1;-1;-1;-1;-1;0;0;-3.257;;;;
147_042_00024;97.58;0;-5.23;94.236;0;-5.23;93.571;0;-6.45;91.991;0;-6.45;91.204;0;-5.251;32.64;0;-4.485;-1;-1;-1;-1;-1;-1;10.237;0;-1.938;10.237;0;-1.938;7.737;0;-2.395;8.2;0;-2.086;-1;-1;-1;-1;-1;-1;5.65;0;-3.786;-1;-1;-1;-1;-1;-1;0;0;-4.94;;;;
147_042_00025;49;0;-4.786;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;40.786;0;-4.717;-1;-1;-1;-1;-1;-1;10.237;0;-1.938;10.237;0;-1.938;7.737;0;-2.395;8.2;0;-2.086;-1;-1;-1;-1;-1;-1;5.65;0;-3.786;-1;-1;-1;-1;-1;-1;0;0;-3.786;;;;
147_042_00026;75.938;0;-4.862;64.822;0;-4.861;63.247;0;-6.45;61.617;0;-6.45;60.525;0;-4.86;34.205;0;-4.9;-1;-1;-1;-1;-1;-1;9.543;0;-1.948;9.543;0;-1.948;7.043;0;-2.313;7.488;0;-2.016;-1;-1;-1;-1;-1;-1;4.938;0;-3.716;-1;-1;-1;-1;-1;-1;0;0;-3.716;;;;
147_042_00027;80;0;-5.17;61.569;0;-5.17;61.021;0;-6.45;60.528;0;-6.45;59.971;0;-5.18;29.975;0;-4.707;-1;-1;-1;-1;-1;-1;8.452;0;-2.064;8.452;0;-2.064;5.952;0;-2.465;6.553;0;-2.064;-1;-1;-1;-1;-1;-1;4.003;0;-3.764;-1;-1;-1;-1;-1;-1;0;0;-3.764;;;;
147_042_00028;80;0;-4.51;57.626;0;-4.546;55.598;0;-6.45;55.598;0;-6.45;53.604;0;-4.698;33.492;0;-4.2;-1;-1;-1;-1;-1;-1;19.413;0;-2.09;17.402;0;-1.98;14.902;0;-2.265;15.391;0;-1.939;-1;-1;-1;-1;-1;-1;13.591;0;-3.139;-1;-1;-1;-1;-1;-1;0;0;-3.139;;;;
147_042_00029;90;0;-6.45;54.223;0;-6.45;54.223;0;-6.45;54.205;0;-6.45;52.322;0;-5.199;52.322;0;-5.199;-1;-1;-1;-1;-1;-1;32.577;0;-1.722;32.577;0;-1.722;30.077;0;-1.953;30.577;0;-1.62;-1;-1;-1;-1;-1;-1;28.777;0;-2.82;-1;-1;-1;-1;-1;-1;0;0;-2.82;;;;
147_042_00030;90;0;-4.725;62.793;0;-5.144;62.087;0;-6.45;61.514;0;-6.45;60.959;0;-5.143;42.624;0;-4.37;-1;-1;-1;-1;-1;-1;29.886;0;-1.589;29.886;0;-1.589;27.386;0;-1.922;27.886;0;-1.589;-1;-1;-1;-1;-1;-1;26.086;0;-2.789;-1;-1;-1;-1;-1;-1;0;0;-2.789;;;;
147_042_00031;150;0;-4.52;100.985;0;-4.514;99.881;0;-6.45;95.373;0;-6.45;93.899;0;-4.511;48.228;0;-4.289;-1;-1;-1;-1;-1;-1;34.227;0;-1.901;32.227;0;-1.777;29.727;0;-1.585;28.227;0;-1.811;-1;-1;-1;-1;-1;-1;26.427;0;-3.011;-1;-1;-1;-1;-1;-1;0;0;-3.011;;;;
228_042_00020;41.35;0;-1.345;39.906;0;-1.426;38.24;0;-2.2;35.66;0;-2.2;34.275;0;-1.393;24.845;0;-1.197;-1;-1;-1;-1;-1;-1;17.773;0;-0.169;17.773;0;-0.169;15.273;0;-0.297;14.413;0;-0.341;-1;-1;-1;-1;-1;-1;13.539;0;-1.197;-1;-1;-1;-1;-1;-1;0;0;-2.557;;;;
228_042_00022;39.708;0;-1.67;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;24.601;0;-1.655;-1;-1;-1;-1;-1;-1;14.508;0;-0.229;14.508;0;-0.229;12.008;0;-0.403;12.008;0;-0.403;-1;-1;-1;-1;-1;-1;3.479;0;-2.29;-1;-1;-1;-1;-1;-1;0;0;-2.41;;;;
228_042_00023;36.368;0;-1.719;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;23.844;0;-1.164;-1;-1;-1;-1;-1;-1;16.329;0;-0.017;16.329;0;-0.017;13.829;0;-0.172;13.829;0;-0.172;-1;-1;-1;-1;-1;-1;5.492;0;-2.183;-1;-1;-1;-1;-1;-1;0;0;-2.717;;;;
228_042_00024;34.339;0;-1.216;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;25.189;0;-1.19;-1;-1;-1;-1;-1;-1;10.431;0;0.131;10.431;0;0.131;7.931;0;-0.471;9.344;0;0.11;-1;-1;-1;-1;-1;-1;1.996;0;-2.687;-1;-1;-1;-1;-1;-1;0;0;-2.778;;;;
228_042_00025;32.28;0;-1.31;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;18.66;0;-1.34;-1;-1;-1;-1;-1;-1;14.93;0;0.08;14.93;0;0.08;12.43;0;-0.81;13.6;0;-0.02;-1;-1;-1;-1;-1;-1;10.25;0;-1.922;-1;-1;-1;-1;-1;-1;0;0;-2.529;;;;
228_042_00026;53.774;0;-2.6;39.714;0;-2.6;39.714;0;-2.6;39.714;0;-2.6;38.767;0;-1.627;38.767;0;-1.627;-1;-1;-1;-1;-1;-1;35.857;0;0.396;30.327;0;0.511;27.827;0;0.528;16.502;0;0.519;-1;-1;-1;-1;-1;-1;8.25;0;-2.037;-1;-1;-1;-1;-1;-1;0;0;-2.54;;;;
228_042_00027;53.774;0;-2.6;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;39.714;0;-2.6;-1;-1;-1;-1;-1;-1;35.857;0;0.396;30.592;0;0.514;28.092;0;0.526;16.502;0;0.519;-1;-1;-1;-1;-1;-1;8.25;0;-2.037;-1;-1;-1;-1;-1;-1;0;0;-2.54;;;;
228_042_00028;58;0;-2.6;43.94;0;-2.6;43.94;0;-2.6;43.783;0;-2.427;42.993;0;-1.627;42.993;0;-1.627;-1;-1;-1;-1;-1;-1;40.083;0;0.396;37.318;0;0.545;34.818;0;0.514;20.728;0;0.519;-1;-1;-1;-1;-1;-1;12.476;0;-2.037;-1;-1;-1;-1;-1;-1;0;0;-2.54;;;;
228_042_00029;34.705;0;-2.946;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;22.166;0;-1.98;-1;-1;-1;-1;-1;-1;14.364;0;0.055;14.364;0;0.055;11.864;0;0.085;9.162;0;-0.13;-1;-1;-1;-1;-1;-1;8.07;0;-2.127;-1;-1;-1;-1;-1;-1;0;0;-2.127;;;;
228_042_00030;34.705;0;-2.946;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;32.57;0;-2.945;-1;-1;-1;-1;-1;-1;14.364;0;0.055;14.364;0;0.055;11.864;0;0.085;9.162;0;-0.13;-1;-1;-1;-1;-1;-1;8.07;0;-2.127;-1;-1;-1;-1;-1;-1;0;0;-2.127;;;;
228_042_00031;32.83;0;4.23;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;17;0;-2.01;-1;-1;-1;-1;-1;-1;13.17;0;0.06;13.17;0;0.06;10.67;0;0.052;10;0;-0.02;-1;-1;-1;-1;-1;-1;7.618;0;-1.94;-1;-1;-1;-1;-1;-1;0;0;-1.94;;;;
228_042_00032;35;0;0.064;32.17;0;0.024;24.174;0;-2.076;22.102;0;-2.038;20.849;0;-0.987;20.849;0;-0.987;-1;-1;-1;-1;-1;-1;14.057;0;0.419;11.793;0;0.485;9.293;0;0.482;5;0;0.257;-1;-1;-1;-1;-1;-1;3.764;0;-1.65;-1;-1;-1;-1;-1;-1;0;0;-1.65;;;;
228_042_00036;28.935;0;-2.224;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;22.08;0;-2.224;-1;-1;-1;-1;-1;-1;18.295;0;0.007;17.152;0;0.032;14.652;0;0.064;11.895;0;-0.209;-1;-1;-1;-1;-1;-1;4.69;0;-3.309;-1;-1;-1;-1;-1;-1;0;0;-3.413;;;;
228_042_00037;48.544;0;-1.1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;18.544;0;-1.1;-1;-1;-1;-1;-1;-1;15.544;0;-0.1;16.544;0;-0.433;14.044;0;-0.1;14.044;0;-0.1;-1;-1;-1;-1;-1;-1;7.964;0;-3.14;-1;-1;-1;-1;-1;-1;0;0;-3.14;14.044;0;-0.1;118
228_042_00038;41.284;0;-1.36;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;22.153;0;-1.075;-1;-1;-1;-1;-1;-1;17.948;0;-0.224;15.845;0;-0.159;13.345;0;-0.173;11.64;0;-0.251;-1;-1;-1;-1;-1;-1;2.671;0;-2.692;-1;-1;-1;-1;-1;-1;0;0;-2.74;;;;
228_042_00039;41.754;0;-2.3;28.836;0;-2.3;28.836;0;-2.3;26.134;0;-2.297;24.853;0;-1.637;21.935;0;-1.634;-1;-1;-1;-1;-1;-1;16.844;0;-0.133;16.844;0;-0.133;14.344;0;-0.172;14.299;0;-0.173;-1;-1;-1;-1;-1;-1;0.492;0;-2.739;-1;-1;-1;-1;-1;-1;0;0;-2.747;;;;
239_042_00001;35;0;-1.671;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;17.405;0;-1.648;-1;-1;-1;-1;-1;-1;11.203;0;-0.421;11.203;0;-0.421;8.703;0;-0.337;8.468;0;-0.308;-1;-1;-1;-1;-1;-1;4.489;0;-1.725;-1;-1;-1;-1;-1;-1;0;0;-1.822;;;;
239_042_00009;48.5;0;-1.033;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;12.492;0;-0.92;-1;-1;-1;-1;-1;-1;9.033;0;-0.38;9.033;0;-0.38;6.533;0;-0.714;7.05;0;-0.38;-1;-1;-1;-1;-1;-1;4.75;0;-1.88;-1;-1;-1;-1;-1;-1;0;0;-1.95;;;;
239_042_00012;32.983;0;-1.619;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;13.358;0;-1.478;-1;-1;-1;-1;-1;-1;9.208;0;-0.345;9.208;0;-0.345;6.708;0;-0.235;7.133;0;-0.127;-1;-1;-1;-1;-1;-1;2.472;0;-1.725;-1;-1;-1;-1;-1;-1;0;0;-1.822;;;;
239_042_00013;35;0;-1.547;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;13.345;0;-0.91;-1;-1;-1;-1;-1;-1;11.259;0;-0.383;11.259;0;-0.383;8.759;0;-0.294;9.172;0;-0.212;-1;-1;-1;-1;-1;-1;5.17;0;-1.661;-1;-1;-1;-1;-1;-1;0;0;-1.945;;;;
239_042_00014;35;0;-1.671;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;17.405;0;-1.648;-1;-1;-1;-1;-1;-1;11.203;0;-0.421;11.203;0;-0.421;8.703;0;-0.337;8.468;0;-0.308;-1;-1;-1;-1;-1;-1;4.489;0;-1.725;-1;-1;-1;-1;-1;-1;0;0;-1.822;;;;
239_042_00016;75;0;-0.8;68.123;0;-0.839;62.901;0;-3.14;49.846;0;-3.085;47.235;0;-0.778;47.235;0;-0.778;-1;-1;-1;-1;-1;-1;44.624;0;0.019;42.013;0;0.111;39.513;0;0.183;19;0;0.405;-1;-1;-1;-1;-1;-1;16;0;-3.76;-1;-1;-1;-1;-1;-1;0;0;-4.6;;;;
239_042_00022;59.487;0;-0.561;31.376;0;-1.095;28.822;0;-2.896;27.531;0;-2.896;27.129;0;-1.879;27.129;0;-1.879;-1;-1;-1;-1;-1;-1;20.759;0;0.295;20.759;0;0.295;18.259;0;0.336;16.512;0;0.276;-1;-1;-1;-1;-1;-1;15.741;0;-2.398;-1;-1;-1;-1;-1;-1;0;0;-4.587;;;;
239_042_00023;48.5;0;-1.033;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;12.492;0;-0.92;-1;-1;-1;-1;-1;-1;9.033;0;-0.38;9.033;0;-0.38;6.533;0;-0.714;7.05;0;-0.38;-1;-1;-1;-1;-1;-1;4.75;0;-1.88;-1;-1;-1;-1;-1;-1;0;0;-1.95;;;;
239_042_00024;39.975;0;-1.611;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;15.913;0;-1.417;-1;-1;-1;-1;-1;-1;11.903;0;-0.662;9.898;0;-0.456;7.398;0;-1.5;8.799;0;-0.565;-1;-1;-1;-1;-1;-1;6.72;0;-1.95;-1;-1;-1;-1;-1;-1;0;0;-1.95;;;;
241_042_00010;56.149;0;-1.382;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;28.667;0;-1.034;-1;-1;-1;-1;-1;-1;20.215;0;-0.166;20.215;0;-0.166;17.715;0;-0.794;18.806;0;-0.117;-1;-1;-1;-1;-1;-1;14.102;0;-2.6;-1;-1;-1;-1;-1;-1;0;0;-2.607;;;;
241_042_00011;35.091;0;-1.591;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;22.321;0;-1.533;-1;-1;-1;-1;-1;-1;18.079;0;-0.201;18.079;0;-0.201;15.579;0;-0.518;16.664;0;-0.201;-1;-1;-1;-1;-1;-1;11.252;0;-2.626;-1;-1;-1;-1;-1;-1;0;0;-2.627;;;;
241_042_00012;35.147;0;-2.917;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;22.322;0;-1.624;-1;-1;-1;-1;-1;-1;17.124;0;-0.267;16.421;0;-0.204;13.921;0;-0.796;15.016;0;-0.305;-1;-1;-1;-1;-1;-1;10.315;0;-2.6;-1;-1;-1;-1;-1;-1;0;0;-2.6;;;;
241_042_00013;80;0;-1.001;77.759;0;-3.283;77.759;0;-3.283;75.315;0;-3.23;72.744;0;-1.669;45.685;0;-0.63;-1;-1;-1;-1;-1;-1;41.683;0;0.174;41.183;0;0.129;38.683;0;0.093;38.181;0;0.196;-1;-1;-1;-1;-1;-1;37;0;-2.5;-1;-1;-1;-1;-1;-1;0;0;-2.5;;;;
241_042_00014;45.448;0;-1.521;25.965;0;-1.489;24.273;0;-3.173;22.268;0;-3.181;20.238;0;-1.391;19.561;0;-1.385;-1;-1;-1;-1;-1;-1;14.824;0;-0.246;14.147;0;-0.208;11.647;0;-0.397;12.794;0;-0.194;-1;-1;-1;-1;-1;-1;6.765;0;-2.6;-1;-1;-1;-1;-1;-1;0;0;-2.607;;;;
